alpha b0 d sigma tau Gmean Gstd
0 1.194 1 1 0 -nan -nan
0 1.194 1 1 0.5 inf -nan
0 1.194 1 1 1 0.249669 0.0400841
0 1.194 1 1 1.5 0.20439 0.024657
0 1.194 1 1 2 0.196681 0.0164472
0 1.194 1 1 2.5 0.193962 0.0111358
0 1.194 1 1 3 0.193755 0.00847134
0 1.194 1 1 3.5 0.193717 0.00705832
0 1.194 1 1 4 0.193789 0.00571048
0 1.194 1 1 4.5 0.194018 0.00485773
0 1.194 1 1 5 0.194181 0.00407704
0 1.194 1 1 5.5 0.194016 0.00343454

0.1 1.194 1 1 0 0.222113 0.00190656
0.1 1.194 1 1 0.5 0.171444 0.0241045
0.1 1.194 1 1 1 0.168467 0.0342576
0.1 1.194 1 1 1.5 0.16891 0.0424836
0.1 1.194 1 1 2 0.168852 0.047694
0.1 1.194 1 1 2.5 0.168725 0.0569288
0.1 1.194 1 1 3 0.166582 0.0601202
0.1 1.194 1 1 3.5 0.16619 0.0651093
0.1 1.194 1 1 4 0.164885 0.0691015
0.1 1.194 1 1 4.5 0.165174 0.0732062
0.1 1.194 1 1 5 0.164842 0.0774316
0.1 1.194 1 1 5.5 0.166833 0.0813967

0.2 1.194 1 1 0 0.200525 0.00165511
0.2 1.194 1 1 0.5 0.129008 0.0221645
0.2 1.194 1 1 1 0.120736 0.0322473
0.2 1.194 1 1 1.5 0.117435 0.0356296
0.2 1.194 1 1 2 0.115556 0.0450454
0.2 1.194 1 1 2.5 0.115186 0.0495758
0.2 1.194 1 1 3 0.114763 0.0534132
0.2 1.194 1 1 3.5 0.116479 0.0574607
0.2 1.194 1 1 4 0.11791 0.0609583
0.2 1.194 1 1 4.5 0.11455 0.0668664
0.2 1.194 1 1 5 0.11556 0.0697857
0.2 1.194 1 1 5.5 0.112793 0.0729723

0.3 1.194 1 1 0 0.182976 0.00150979
0.3 1.194 1 1 0.5 0.101324 0.0201556
0.3 1.194 1 1 1 0.0896123 0.0282953
0.3 1.194 1 1 1.5 0.0873086 0.0350812
0.3 1.194 1 1 2 0.0826533 0.0413476
0.3 1.194 1 1 2.5 0.0819579 0.0432509
0.3 1.194 1 1 3 0.0787914 0.0501393
0.3 1.194 1 1 3.5 0.0810718 0.0550475
0.3 1.194 1 1 4 0.0797576 0.0568856
0.3 1.194 1 1 4.5 0.0801185 0.0612893
0.3 1.194 1 1 5 0.0797843 0.0632166
0.3 1.194 1 1 5.5 0.0829993 0.0645389

0.4 1.194 1 1 0 0.168435 0.00140604
0.4 1.194 1 1 0.5 0.0839871 0.0178589
0.4 1.194 1 1 1 0.0692204 0.0259042
0.4 1.194 1 1 1.5 0.0608269 0.0337406
0.4 1.194 1 1 2 0.0599189 0.0367612
0.4 1.194 1 1 2.5 0.0558109 0.042402
0.4 1.194 1 1 3 0.0569465 0.0472903
0.4 1.194 1 1 3.5 0.0567281 0.0496759
0.4 1.194 1 1 4 0.0533936 0.0536772
0.4 1.194 1 1 4.5 0.0514452 0.0572881
0.4 1.194 1 1 5 0.0545127 0.0600732
0.4 1.194 1 1 5.5 0.0475942 0.0617325

0.5 1.194 1 1 0 0.156154 0.00128493
0.5 1.194 1 1 0.5 0.0721686 0.0180551
0.5 1.194 1 1 1 0.053966 0.0248974
0.5 1.194 1 1 1.5 0.0455456 0.0303146
0.5 1.194 1 1 2 0.0406842 0.034994
0.5 1.194 1 1 2.5 0.0377986 0.039064
0.5 1.194 1 1 3 0.0372145 0.0440293
0.5 1.194 1 1 3.5 0.0353355 0.0478801
0.5 1.194 1 1 4 0.0361837 0.0503519
0.5 1.194 1 1 4.5 0.0327937 0.0541652
0.5 1.194 1 1 5 0.0323453 0.0591835
0.5 1.194 1 1 5.5 0.0317392 0.0587887

0.6 1.194 1 1 0 0.145536 0.00117224
0.6 1.194 1 1 0.5 0.0635115 0.0168588
0.6 1.194 1 1 1 0.0430664 0.0241873
0.6 1.194 1 1 1.5 0.0340147 0.0295195
0.6 1.194 1 1 2 0.0278573 0.0327947
0.6 1.194 1 1 2.5 0.0248671 0.0366526
0.6 1.194 1 1 3 0.0224787 0.0426756
0.6 1.194 1 1 3.5 0.0185461 0.0440211
0.6 1.194 1 1 4 0.0187767 0.0485958
0.6 1.194 1 1 4.5 0.0181711 0.0525104
0.6 1.194 1 1 5 0.0156731 0.054633
0.6 1.194 1 1 5.5 0.0158102 0.0557435

0.7 1.194 1 1 0 0.136363 0.00114635
0.7 1.194 1 1 0.5 0.0589557 0.0155786
0.7 1.194 1 1 1 0.0342473 0.0224066
0.7 1.194 1 1 1.5 0.0230206 0.0287807
0.7 1.194 1 1 2 0.0188042 0.0315837
0.7 1.194 1 1 2.5 0.0135912 0.0366124
0.7 1.194 1 1 3 0.0126214 0.0390744
0.7 1.194 1 1 3.5 0.0100149 0.0407941
0.7 1.194 1 1 4 0.00946013 0.0450027
0.7 1.194 1 1 4.5 0.00706423 0.0489786
0.7 1.194 1 1 5 0.00503765 0.0509423
0.7 1.194 1 1 5.5 0.00330873 0.0511127

0.8 1.194 1 1 0 0.129048 0.00105031
0.8 1.194 1 1 0.5 0.0545685 0.0145242
0.8 1.194 1 1 1 0.0296652 0.0217017
0.8 1.194 1 1 1.5 0.017284 0.0274123
0.8 1.194 1 1 2 0.0117129 0.0311532
0.8 1.194 1 1 2.5 0.00820517 0.0348373
0.8 1.194 1 1 3 0.00400492 0.0394208
0.8 1.194 1 1 3.5 0.00280517 0.0421347
0.8 1.194 1 1 4 0.00046762 0.0420074
0.8 1.194 1 1 4.5 -0.00117477 0.0468075
0.8 1.194 1 1 5 -0.00168655 0.0469989
0.8 1.194 1 1 5.5 -0.00427001 0.0536738

0.9 1.194 1 1 0 0.121828 0.00101563
0.9 1.194 1 1 0.5 0.051941 0.014214
0.9 1.194 1 1 1 0.0247799 0.02066
0.9 1.194 1 1 1.5 0.0108766 0.026065
0.9 1.194 1 1 2 0.00591886 0.030899
0.9 1.194 1 1 2.5 -0.000549856 0.0339069
0.9 1.194 1 1 3 -0.00287337 0.0377619
0.9 1.194 1 1 3.5 -0.00485105 0.0393009
0.9 1.194 1 1 4 -0.00721708 0.041816
0.9 1.194 1 1 4.5 -0.0114489 0.0461249
0.9 1.194 1 1 5 -0.0105553 0.0495137
0.9 1.194 1 1 5.5 -0.008134 0.0507264

1 1.194 1 1 0 0.115352 0.000972424
1 1.194 1 1 0.5 0.0501841 0.0138934
1 1.194 1 1 1 0.0213061 0.0197872
1 1.194 1 1 1.5 0.0075068 0.0249788
1 1.194 1 1 2 0.000552046 0.0290424
