alpha b0 d sigma tau Gmean Gstd
0.9 1.249 1 0.5 3 0.0855021 0.0194234
0.9 1.249 1 0.5 3.5 0.0840732 0.0212551
0.9 1.249 1 0.5 4 0.0858545 0.0216767
0.9 1.249 1 0.5 4.5 0.0857506 0.0232078
0.9 1.249 1 0.5 5 0.0855845 0.0242796
0.9 1.249 1 0.5 5.5 0.0850331 0.0263765

1 1.249 1 0.5 0 0.115191 0.000555417
1 1.249 1 0.5 0.5 0.0955532 0.00711878
1 1.249 1 0.5 1 0.0886576 0.0105857
1 1.249 1 0.5 1.5 0.0849705 0.0124689
1 1.249 1 0.5 2 0.0828994 0.0149207
1 1.249 1 0.5 2.5 0.0810887 0.0168756
1 1.249 1 0.5 3 0.0799061 0.0177529
1 1.249 1 0.5 3.5 0.0798425 0.0208056
1 1.249 1 0.5 4 0.0796183 0.0211803
1 1.249 1 0.5 4.5 0.0794417 0.0236988
1 1.249 1 0.5 5 0.0784927 0.0244372
1 1.249 1 0.5 5.5 0.0788764 0.0255958

1.1 1.249 1 0.5 0 0.109421 0.000512977
1.1 1.249 1 0.5 0.5 0.0916015 0.00702156
1.1 1.249 1 0.5 1 0.0834804 0.0100425
1.1 1.249 1 0.5 1.5 0.0798601 0.0119676
1.1 1.249 1 0.5 2 0.0781662 0.0150195
1.1 1.249 1 0.5 2.5 0.0767637 0.0157128
1.1 1.249 1 0.5 3 0.0747144 0.0176423
1.1 1.249 1 0.5 3.5 0.0749278 0.018997
1.1 1.249 1 0.5 4 0.074261 0.0211361
1.1 1.249 1 0.5 4.5 0.0726102 0.021417
1.1 1.249 1 0.5 5 0.0731994 0.0216927
1.1 1.249 1 0.5 5.5 0.0728971 0.0245671

1.2 1.249 1 0.5 0 0.103704 0.000495443
1.2 1.249 1 0.5 0.5 0.0875556 0.00627493
1.2 1.249 1 0.5 1 0.0796919 0.00927089
1.2 1.249 1 0.5 1.5 0.0759016 0.0116475
1.2 1.249 1 0.5 2 0.0733862 0.0135242
1.2 1.249 1 0.5 2.5 0.0726875 0.0152452
1.2 1.249 1 0.5 3 0.070829 0.0165488
1.2 1.249 1 0.5 3.5 0.0702083 0.0184708
1.2 1.249 1 0.5 4 0.0701077 0.0200192
1.2 1.249 1 0.5 4.5 0.0698076 0.0214417
1.2 1.249 1 0.5 5 0.0703689 0.0222118
1.2 1.249 1 0.5 5.5 0.0681828 0.0226619

1.3 1.249 1 0.5 0 0.0989957 0.000499157
1.3 1.249 1 0.5 0.5 0.0834665 0.00606862
1.3 1.249 1 0.5 1 0.0759207 0.0085329
1.3 1.249 1 0.5 1.5 0.0716748 0.0107918
1.3 1.249 1 0.5 2 0.0695513 0.0130332
1.3 1.249 1 0.5 2.5 0.0666049 0.0150429
1.3 1.249 1 0.5 3 0.066939 0.0156397
1.3 1.249 1 0.5 3.5 0.0669389 0.0172901
1.3 1.249 1 0.5 4 0.0658884 0.0188661
1.3 1.249 1 0.5 4.5 0.0654572 0.0201553
1.3 1.249 1 0.5 5 0.0648064 0.021222
1.3 1.249 1 0.5 5.5 0.0656356 0.0218356

1.4 1.249 1 0.5 0 0.0947286 0.000469812
1.4 1.249 1 0.5 0.5 0.0804883 0.00583471
1.4 1.249 1 0.5 1 0.072728 0.00847328
1.4 1.249 1 0.5 1.5 0.0688062 0.0103292
1.4 1.249 1 0.5 2 0.0666795 0.0128564
1.4 1.249 1 0.5 2.5 0.0642779 0.0137522
1.4 1.249 1 0.5 3 0.0640018 0.0153692
1.4 1.249 1 0.5 3.5 0.0638055 0.0163599
1.4 1.249 1 0.5 4 0.0618406 0.0178065
1.4 1.249 1 0.5 4.5 0.0614118 0.0189593
1.4 1.249 1 0.5 5 0.0618057 0.0200947
1.4 1.249 1 0.5 5.5 0.0615768 0.0211956

1.5 1.249 1 0.5 0 0.0908095 0.000473249
1.5 1.249 1 0.5 0.5 0.0774826 0.00544983
1.5 1.249 1 0.5 1 0.0701249 0.00798817
1.5 1.249 1 0.5 1.5 0.0657217 0.0101055
1.5 1.249 1 0.5 2 0.0632597 0.0121998
1.5 1.249 1 0.5 2.5 0.0613606 0.0137962
1.5 1.249 1 0.5 3 0.0607298 0.0153027
1.5 1.249 1 0.5 3.5 0.0610118 0.0163456
1.5 1.249 1 0.5 4 0.0588802 0.0176265
1.5 1.249 1 0.5 4.5 0.058281 0.0182086
1.5 1.249 1 0.5 5 0.0590813 0.0186063
1.5 1.249 1 0.5 5.5 0.0578469 0.020817

1.6 1.249 1 0.5 0 0.0872096 0.000486447
1.6 1.249 1 0.5 0.5 0.074322 0.00564079
1.6 1.249 1 0.5 1 0.0672684 0.00782198
1.6 1.249 1 0.5 1.5 0.0633503 0.00952289
1.6 1.249 1 0.5 2 0.0610426 0.0113044
1.6 1.249 1 0.5 2.5 0.0591714 0.0126148
1.6 1.249 1 0.5 3 0.057975 0.0142343
1.6 1.249 1 0.5 3.5 0.0568944 0.0158262
1.6 1.249 1 0.5 4 0.0558916 0.0165243
1.6 1.249 1 0.5 4.5 0.0558457 0.0176544
