alpha b0 d sigma tau Gmean Gstd
0 1.035 1 1.5 0 -nan -nan
0 1.035 1 1.5 0.5 inf -nan
0 1.035 1 1.5 1 0.252817 0.0504197
0 1.035 1 1.5 1.5 0.113987 0.0320081
0 1.035 1 1.5 2 0.0642754 0.0225959
0 1.035 1 1.5 2.5 0.0464173 0.0164291
0 1.035 1 1.5 3 0.0386029 0.0125301
0 1.035 1 1.5 3.5 0.0363116 0.00992388
0 1.035 1 1.5 4 0.0353806 0.00853578
0 1.035 1 1.5 4.5 0.0352628 0.00729046
0 1.035 1 1.5 5 0.0345568 0.00639134
0 1.035 1 1.5 5.5 0.0349243 0.00529205

0.1 1.035 1 1.5 0 0.223102 0.00242667
0.1 1.035 1 1.5 0.5 0.139376 0.029718
0.1 1.035 1 1.5 1 0.13641 0.0445213
0.1 1.035 1 1.5 1.5 0.135304 0.0516159
0.1 1.035 1 1.5 2 0.133172 0.060724
0.1 1.035 1 1.5 2.5 0.131692 0.0670436
0.1 1.035 1 1.5 3 0.136848 0.0765683
0.1 1.035 1 1.5 3.5 0.13262 0.0804091
0.1 1.035 1 1.5 4 0.131733 0.0842531
0.1 1.035 1 1.5 4.5 0.126878 0.0917387
0.1 1.035 1 1.5 5 0.132461 0.0972319
0.1 1.035 1 1.5 5.5 0.129907 0.102492

0.2 1.035 1 1.5 0 0.201574 0.00225377
0.2 1.035 1 1.5 0.5 0.0825253 0.0270541
0.2 1.035 1 1.5 1 0.0713384 0.0373835
0.2 1.035 1 1.5 1.5 0.0702555 0.0469581
0.2 1.035 1 1.5 2 0.067707 0.0537436
0.2 1.035 1 1.5 2.5 0.060661 0.0627925
0.2 1.035 1 1.5 3 0.0630845 0.0652887
0.2 1.035 1 1.5 3.5 0.0585571 0.0704397
0.2 1.035 1 1.5 4 0.0617304 0.0757411
0.2 1.035 1 1.5 4.5 0.0645891 0.085178
0.2 1.035 1 1.5 5 0.0582216 0.0841186
0.2 1.035 1 1.5 5.5 0.0603757 0.0917977

0.3 1.035 1 1.5 0 0.184095 0.00201051
0.3 1.035 1 1.5 0.5 0.0508806 0.0245847
0.3 1.035 1 1.5 1 0.0339422 0.0356982
0.3 1.035 1 1.5 1.5 0.023728 0.04301
0.3 1.035 1 1.5 2 0.0205338 0.0507679
0.3 1.035 1 1.5 2.5 0.019349 0.0541608
0.3 1.035 1 1.5 3 0.0206628 0.0586495
0.3 1.035 1 1.5 3.5 0.0188049 0.0665959
0.3 1.035 1 1.5 4 0.0135031 0.0728996
0.3 1.035 1 1.5 4.5 0.0152812 0.075617
0.3 1.035 1 1.5 5 0.0124605 0.0789802
0.3 1.035 1 1.5 5.5 0.0144115 0.0831326

0.4 1.035 1 1.5 0 0.169505 0.00184466
0.4 1.035 1 1.5 0.5 0.0303482 0.0220338
0.4 1.035 1 1.5 1 0.00691577 0.032994
0.4 1.035 1 1.5 1.5 -0.00287553 0.0414912
0.4 1.035 1 1.5 2 -0.00811707 0.0442568
0.4 1.035 1 1.5 2.5 -0.0103294 0.0509231
0.4 1.035 1 1.5 3 -0.0133425 0.0588601
0.4 1.035 1 1.5 3.5 -0.0121417 0.0626715
0.4 1.035 1 1.5 4 -0.0159653 0.0679673
0.4 1.035 1 1.5 4.5 -0.0167774 0.0713462
0.4 1.035 1 1.5 5 -0.0202334 0.0729402
0.4 1.035 1 1.5 5.5 -0.0177424 0.0793355

0.5 1.035 1 1.5 0 0.157169 0.00170221
0.5 1.035 1 1.5 0.5 0.0202834 0.022299
0.5 1.035 1 1.5 1 -0.00908658 0.0295428
0.5 1.035 1 1.5 1.5 -0.0217093 0.0384056
0.5 1.035 1 1.5 2 -0.0276248 0.0433937
0.5 1.035 1 1.5 2.5 -0.0346366 0.0478416
0.5 1.035 1 1.5 3 -0.0380723 0.0545687
0.5 1.035 1 1.5 3.5 -0.0374232 0.0586927
0.5 1.035 1 1.5 4 -0.0397422 0.0630948
0.5 1.035 1 1.5 4.5 -0.0432414 0.067363
0.5 1.035 1 1.5 5 -0.0365107 0.0697748
0.5 1.035 1 1.5 5.5 -0.0443772 0.0738603

0.6 1.035 1 1.5 0 0.146416 0.00154824
0.6 1.035 1 1.5 0.5 0.0141104 0.0195608
0.6 1.035 1 1.5 1 -0.019392 0.0296497
0.6 1.035 1 1.5 1.5 -0.0358633 0.0376577
0.6 1.035 1 1.5 2 -0.0452544 0.0442912
0.6 1.035 1 1.5 2.5 -0.048963 0.0459574
0.6 1.035 1 1.5 3 -0.049514 0.0519678
0.6 1.035 1 1.5 3.5 -0.0532476 0.0552103
0.6 1.035 1 1.5 4 -0.0621712 0.0609961
0.6 1.035 1 1.5 4.5 -0.0583505 0.0638577
0.6 1.035 1 1.5 5 -0.0630513 0.068103
0.6 1.035 1 1.5 5.5 -0.0572112 0.0707655

0.7 1.035 1 1.5 0 0.13724 0.00146669
0.7 1.035 1 1.5 0.5 0.0100766 0.0195959
0.7 1.035 1 1.5 1 -0.028601 0.0293103
0.7 1.035 1 1.5 1.5 -0.0442484 0.0342655
