alpha b0 d sigma tau Gmean Gstd Tmean Tstd
9.7 1.25 1 1.2 1 0.0121516 0.00428237 802.764 755.788
9.8 1.25 1 0.6 1 0.019155 0.00173511 100000 -nan
9.8 1.25 1 0.8 1 0.0183574 0.00216009 100000 -nan
9.8 1.25 1 1 1 0.0161388 0.00306185 78404.6 32778.9
9.8 1.25 1 1.2 1 0.0121925 0.00470053 851.003 800.628
9.9 1.25 1 0.6 1 0.0194583 0.00166637 100000 -nan
9.9 1.25 1 0.8 1 0.0186246 0.00222186 100000 -nan
9.9 1.25 1 1 1 0.0157469 0.0031668 79039 32136.3
9.9 1.25 1 1.2 1 0.0119163 0.00539818 830.991 784.155
10 1.25 1 0.6 1 0.0190927 0.00165805 100000 -nan
10 1.25 1 0.8 1 0.0178988 0.00232162 100000 -nan
10 1.25 1 1 1 0.0156772 0.00331953 80689.7 30478
10 1.25 1 1.2 1 0.0119409 0.00397094 822.78 714.482
