alpha b0 d sigma tau Gmean Gstd Tmean Tstd
0 1.25 1 0.6 0.5 0.249532 0.0124403 99995 159.348
0 1.25 1 0.8 0.5 0.253218 0.0159297 24087.5 23648.8
0 1.25 1 1 0.5 0.250898 0.0215877 1658.89 1616.64
0 1.25 1 1.2 0.5 0.247883 0.0269683 410.433 413.663
0.1 1.25 1 0.6 0.5 0.20083 0.0108256 99779.3 3743.81
0.1 1.25 1 0.8 0.5 0.18331 0.0156597 13354.9 13989.4
0.1 1.25 1 1 0.5 0.16125 0.0201084 783.818 747.243
0.1 1.25 1 1.2 0.5 0.134007 0.0231789 203.47 194.144
0.2 1.25 1 0.6 0.5 0.173583 0.0108694 99892 2137.11
0.2 1.25 1 0.8 0.5 0.144845 0.0143137 11607.3 11494
0.2 1.25 1 1 0.5 0.116249 0.017598 566.169 540.184
0.2 1.25 1 1.2 0.5 0.0821791 0.0207424 152.29 139.087
0.3 1.25 1 0.6 0.5 0.154892 0.00943061 100000 -nan
0.3 1.25 1 0.8 0.5 0.127848 0.0117679 14090.4 13635.5
0.3 1.25 1 1 0.5 0.0971174 0.0172701 562.071 519.961
0.3 1.25 1 1.2 0.5 0.0581941 0.02001 136.608 118.387
0.4 1.25 1 0.6 0.5 0.13841 0.00785027 100000 -nan
0.4 1.25 1 0.8 0.5 0.117205 0.0118217 17502.2 17183.8
0.4 1.25 1 1 0.5 0.0841721 0.0157818 597.551 581.563
0.4 1.25 1 1.2 0.5 0.0423109 0.018763 137.167 110.818
0.5 1.25 1 0.6 0.5 0.130043 0.00734683 100000 -nan
0.5 1.25 1 0.8 0.5 0.106921 0.0113028 25062.6 23636.1
0.5 1.25 1 1 0.5 0.0744123 0.0157869 685.712 693.899
0.5 1.25 1 1.2 0.5 0.0343771 0.0168532 138.004 121.881
0.6 1.25 1 0.6 0.5 0.121719 0.00779746 100000 -nan
0.6 1.25 1 0.8 0.5 0.100201 0.0100765 37629.9 30933.7
0.6 1.25 1 1 0.5 0.0731092 0.013742 806.858 813.325
0.6 1.25 1 1.2 0.5 0.0297387 0.0164678 148.278 122.571
0.7 1.25 1 0.6 0.5 0.114381 0.00684275 100000 -nan
0.7 1.25 1 0.8 0.5 0.0950174 0.00944256 52234.8 35183.7
0.7 1.25 1 1 0.5 0.0697927 0.011888 998.651 930.093
0.7 1.25 1 1.2 0.5 0.0328591 0.017398 167.947 144.014
0.8 1.25 1 0.6 0.5 0.108004 0.00588109 100000 -nan
0.8 1.25 1 0.8 0.5 0.0922503 0.00958928 63715.6 36351.9
0.8 1.25 1 1 0.5 0.067308 0.0121342 1190.3 1159.22
0.8 1.25 1 1.2 0.5 0.0295289 0.0144614 188.047 161.461
0.9 1.25 1 0.6 0.5 0.103862 0.00577309 100000 -nan
0.9 1.25 1 0.8 0.5 0.0878526 0.00849527 77768.8 32242.1
