alpha b0 d sigma tau Gmean Gstd Tmean Tstd
0 1.25 1 0.6 2 0.247763 0.0266356 738.004 718.818
0 1.25 1 0.8 2 0.252004 0.036815 156.343 141.639
0 1.25 1 1 2 0.246721 0.0472295 68.3947 61.0938
0 1.25 1 1.2 2 0.25176 0.0576107 44.2296 37.9276
0.1 1.25 1 0.6 2 0.198471 0.0251693 828.287 847.481
0.1 1.25 1 0.8 2 0.182949 0.0317897 140.913 128.28
0.1 1.25 1 1 2 0.155147 0.038876 60.7701 54.8507
0.1 1.25 1 1.2 2 0.119231 0.0394746 40.0944 32.8789
0.2 1.25 1 0.6 2 0.163163 0.0212296 904.356 890.453
0.2 1.25 1 0.8 2 0.132537 0.0289206 144.248 125.806
0.2 1.25 1 1 2 0.0974406 0.0327753 63.2717 52.5338
0.2 1.25 1 1.2 2 0.0544137 0.0389019 37.6177 30.2813
0.3 1.25 1 0.6 2 0.138611 0.0184098 1047.3 1087.18
0.3 1.25 1 0.8 2 0.106639 0.0250181 142.368 120.224
0.3 1.25 1 1 2 0.0627834 0.0334496 60.5266 51.6799
0.3 1.25 1 1.2 2 -0.00267856 0.0426092 35.2099 27.6656
0.4 1.25 1 0.6 2 0.125905 0.0161008 1259.8 1244.08
0.4 1.25 1 0.8 2 0.0880274 0.0239059 152.898 138.148
0.4 1.25 1 1 2 0.0327046 0.0286219 60.6225 51.0457
0.4 1.25 1 1.2 2 -0.0276734 0.0402998 34.8977 27.3809
0.5 1.25 1 0.6 2 0.108836 0.0151321 1456.07 1450.03
0.5 1.25 1 0.8 2 0.0753565 0.022492 164.195 149.04
0.5 1.25 1 1 2 0.0200499 0.0353157 64.7279 52.6926
0.5 1.25 1 1.2 2 -0.0550704 0.0356574 33.2062 26.8041
0.6 1.25 1 0.6 2 0.100459 0.015427 1687.54 1617.22
0.6 1.25 1 0.8 2 0.063768 0.0191446 165.795 144.146
0.6 1.25 1 1 2 0.00801695 0.0268762 64.8204 51.0828
0.6 1.25 1 1.2 2 -0.064521 0.033805 33.86 24.973
0.7 1.25 1 0.6 2 0.0933399 0.0144601 1938.79 1817.9
0.7 1.25 1 0.8 2 0.057229 0.0174859 176.952 153.96
0.7 1.25 1 1 2 0.00714451 0.026021 66.2216 51.9966
0.7 1.25 1 1.2 2 -0.0803345 0.0325491 34.0192 24.9644
0.8 1.25 1 0.6 2 0.0864724 0.0143094 2470.87 2579.76
0.8 1.25 1 0.8 2 0.0504336 0.0185823 193.482 175.6
0.8 1.25 1 1 2 -0.00890179 0.0255279 66.8191 52.3006
0.8 1.25 1 1.2 2 -0.0899896 0.0316929 33.2183 24.3589
0.9 1.25 1 0.6 2 0.0811738 0.0119067 3080.97 2989.35
0.9 1.25 1 0.8 2 0.0505937 0.0162438 213.441 187.467
0.9 1.25 1 1 2 -0.00644697 0.0224352 67.4839 53.6083
0.9 1.25 1 1.2 2 -0.0914428 0.0317763 32.1924 24.2044
1 1.25 1 0.6 2 0.0756015 0.0111243 3660.44 3844.54
1 1.25 1 0.8 2 0.0444342 0.0159942 222.056 184.445
1 1.25 1 1 2 -0.00610849 0.0203619 72.3736 54.4818
1 1.25 1 1.2 2 -0.100841 0.0280533 34.4977 22.8596
1.1 1.25 1 0.6 2 0.0739989 0.0111375 4845.38 4904.97
1.1 1.25 1 0.8 2 0.0404969 0.0155623 246.093 215.215
1.1 1.25 1 1 2 -0.00963196 0.0230448 76.4379 59.8295
1.1 1.25 1 1.2 2 -0.0915249 0.0277156 34.5123 24.7418
1.2 1.25 1 0.6 2 0.0712208 0.0101864 5660.63 5714.31
1.2 1.25 1 0.8 2 0.0395123 0.014827 275.773 235.81
1.2 1.25 1 1 2 -0.0120918 0.0216762 82.5385 68.9721
1.2 1.25 1 1.2 2 -0.0938241 0.024465 35.7853 25.0204
1.3 1.25 1 0.6 2 0.0669911 0.0111739 7405.72 7141.21
1.3 1.25 1 0.8 2 0.0377357 0.0152713 308.641 257.089
1.3 1.25 1 1 2 -0.00965473 0.0191312 89.372 70.7183
1.3 1.25 1 1.2 2 -0.103463 0.0242525 36.0729 27.4144
1.4 1.25 1 0.6 2 0.0647424 0.0100841 9598 9817.7
1.4 1.25 1 0.8 2 0.0352592 0.0128773 317.989 263.686
1.4 1.25 1 1 2 -0.00928374 0.0174626 88.3817 64.3756
1.4 1.25 1 1.2 2 -0.0895374 0.0258402 37.2194 27.7409
1.5 1.25 1 0.6 2 0.0618654 0.0093955 12767.3 12465.2
1.5 1.25 1 0.8 2 0.0348305 0.0133426 348.918 318.395
1.5 1.25 1 1 2 -0.0085756 0.0206961 95.5021 72.8309
1.5 1.25 1 1.2 2 -0.0953803 0.0287415 41.0232 30.6302
1.6 1.25 1 0.6 2 0.0594624 0.00883802 15912.4 15630.7
1.6 1.25 1 0.8 2 0.0359629 0.0134635 377.087 334.849
1.6 1.25 1 1 2 -0.00902947 0.0151637 99.1653 80.7251
1.6 1.25 1 1.2 2 -0.0909171 0.0252834 38.384 27.4764
