alpha b0 d sigma tau Gmean Gstd
2.5 1.1 1 1 1 -0.0223257 0.0103914
2.5 1.3 1 1 1 0.044653 0.00838841
2.5 1.5 1 1 1 0.0943205 0.00638468
2.5 1.7 1 1 1 0.136493 0.00646895
2.5 1.9 1 1 1 0.174513 0.00535298

2.6 1.1 1 1 1 -0.021546 0.0104078
2.6 1.3 1 1 1 0.0438691 0.00817257
2.6 1.5 1 1 1 0.091599 0.00669286
2.6 1.7 1 1 1 0.133666 0.00558464
2.6 1.9 1 1 1 0.170117 0.00512121

2.7 1.1 1 1 1 -0.0182185 0.0108389
2.7 1.3 1 1 1 0.0437768 0.00874194
2.7 1.5 1 1 1 0.0908928 0.00579172
2.7 1.7 1 1 1 0.129845 0.0060704
2.7 1.9 1 1 1 0.165106 0.00507271

2.8 1.1 1 1 1 -0.0166198 0.0102232
2.8 1.3 1 1 1 0.0427638 0.00706642
2.8 1.5 1 1 1 0.0881731 0.00685089
2.8 1.7 1 1 1 0.127042 0.00571337
2.8 1.9 1 1 1 0.160825 0.00528683

2.9 1.1 1 1 1 -0.0151049 0.0107228
2.9 1.3 1 1 1 0.0422441 0.00815258
2.9 1.5 1 1 1 0.0871424 0.00610807
2.9 1.7 1 1 1 0.125068 0.00569387
2.9 1.9 1 1 1 0.157469 0.00515142

3 1.1 1 1 1 -0.0146725 0.00927415
3 1.3 1 1 1 0.0415624 0.00702581
3 1.5 1 1 1 0.0849909 0.0062098
3 1.7 1 1 1 0.121773 0.00536106
3 1.9 1 1 1 0.153143 0.00443546

3.1 1.1 1 1 1 -0.01457 0.00963498
3.1 1.3 1 1 1 0.0411693 0.00738552
3.1 1.5 1 1 1 0.0835896 0.00657809
3.1 1.7 1 1 1 0.11867 0.00522144
3.1 1.9 1 1 1 0.149812 0.00496883

3.2 1.1 1 1 1 -0.0125768 0.00953044
3.2 1.3 1 1 1 0.0403899 0.00659238
3.2 1.5 1 1 1 0.0827939 0.00644605
3.2 1.7 1 1 1 0.11655 0.00521781
3.2 1.9 1 1 1 0.145814 0.00477753

3.3 1.1 1 1 1 -0.0121283 0.00983306
3.3 1.3 1 1 1 0.0401819 0.00773255
3.3 1.5 1 1 1 0.0805846 0.00553837
3.3 1.7 1 1 1 0.114209 0.00504002
3.3 1.9 1 1 1 0.142531 0.00448894

3.4 1.1 1 1 1 -0.00969418 0.00817926
3.4 1.3 1 1 1 0.0400012 0.007298
3.4 1.5 1 1 1 0.078969 0.00569074
3.4 1.7 1 1 1 0.111601 0.00492302
3.4 1.9 1 1 1 0.139776 0.00420536

3.5 1.1 1 1 1 -0.00966908 0.00962627
3.5 1.3 1 1 1 0.0393554 0.00691809
3.5 1.5 1 1 1 0.0773878 0.00492461
3.5 1.7 1 1 1 0.108574 0.00489973
3.5 1.9 1 1 1 0.13718 0.00431695

3.6 1.1 1 1 1 -0.00937246 0.00823317
3.6 1.3 1 1 1 0.0389636 0.00570173
3.6 1.5 1 1 1 0.0762991 0.00559642
3.6 1.7 1 1 1 0.107637 0.00429111
3.6 1.9 1 1 1 0.134613 0.00364896

3.7 1.1 1 1 1 -0.00786276 0.00788804
3.7 1.3 1 1 1 0.0389272 0.00748617
3.7 1.5 1 1 1 0.0752644 0.00505534
3.7 1.7 1 1 1 0.1037 0.00418594
3.7 1.9 1 1 1 0.131641 0.00357813

3.8 1.1 1 1 1 -0.00740927 0.00801277
3.8 1.3 1 1 1 0.0384073 0.00665741
3.8 1.5 1 1 1 0.0732332 0.0050665
3.8 1.7 1 1 1 0.102887 0.00390043
3.8 1.9 1 1 1 0.128606 0.00382395

3.9 1.1 1 1 1 -0.00769173 0.00713758
3.9 1.3 1 1 1 0.0369857 0.00567253
3.9 1.5 1 1 1 0.0721984 0.0053719
3.9 1.7 1 1 1 0.100239 0.00395083
3.9 1.9 1 1 1 0.126356 0.00370777

4 1.1 1 1 1 -0.00660584 0.00783991
4 1.3 1 1 1 0.0359999 0.00650577
4 1.5 1 1 1 0.0697842 0.00464442
4 1.7 1 1 1 0.099114 0.00471336
4 1.9 1 1 1 0.12359 0.003779

4.1 1.1 1 1 1 -0.00664113 0.00773864
4.1 1.3 1 1 1 0.037119 0.0050587
4.1 1.5 1 1 1 0.0688949 0.00446765
4.1 1.7 1 1 1 0.0974827 0.00372429
4.1 1.9 1 1 1 0.121358 0.00345222

4.2 1.1 1 1 1 -0.00561917 0.00790679
4.2 1.3 1 1 1 0.0374605 0.00549733
4.2 1.5 1 1 1 0.0684293 0.00454115
4.2 1.7 1 1 1 0.0953724 0.00411213
4.2 1.9 1 1 1 0.119473 0.00321512

4.3 1.1 1 1 1 -0.003968 0.00691791
4.3 1.3 1 1 1 0.0362081 0.00594201
4.3 1.5 1 1 1 0.0668487 0.00448159
4.3 1.7 1 1 1 0.0931699 0.00429951
4.3 1.9 1 1 1 0.117092 0.00378905

4.4 1.1 1 1 1 -0.00497858 0.00731312
4.4 1.3 1 1 1 0.035998 0.00497748
4.4 1.5 1 1 1 0.0660164 0.00474413
4.4 1.7 1 1 1 0.0918208 0.00335904
4.4 1.9 1 1 1 0.114252 0.00359832

4.5 1.1 1 1 1 -0.00416661 0.007457
4.5 1.3 1 1 1 0.0353489 0.0058456
4.5 1.5 1 1 1 0.0646307 0.00455505
4.5 1.7 1 1 1 0.0903877 0.00412748
4.5 1.9 1 1 1 0.112765 0.00311205

4.6 1.1 1 1 1 -0.00366514 0.0072356
4.6 1.3 1 1 1 0.0346986 0.00530348
4.6 1.5 1 1 1 0.0636961 0.00470681
4.6 1.7 1 1 1 0.0894886 0.00334517
4.6 1.9 1 1 1 0.110373 0.00368073

4.7 1.1 1 1 1 -0.00377419 0.00668253
4.7 1.3 1 1 1 0.0332841 0.00514883
4.7 1.5 1 1 1 0.0633644 0.00454555
4.7 1.7 1 1 1 0.0884632 0.00383489
4.7 1.9 1 1 1 0.108924 0.00312997

4.8 1.1 1 1 1 -0.0029358 0.00640916
4.8 1.3 1 1 1 0.0330122 0.00566748
