alpha b0 d sigma tau Gmean Gstd
0.4 1.25 1 0.95 1 0.0675337 0.0202177
0.4 1.25 1 1 1 0.0557506 0.0220063
0.4 1.25 1 1.05 1 0.0424786 0.0230404
0.4 1.25 1 1.1 1 0.0282352 0.0242782
0.4 1.25 1 1.15 1 0.0128687 0.0256721
0.4 1.25 1 1.2 1 -0.00338575 0.026953

0.5 1.25 1 0 1 0.156146 5.79519e-08
0.5 1.25 1 0.05 1 0.1559 0.000917346
0.5 1.25 1 0.1 1 0.155176 0.00184844
0.5 1.25 1 0.15 1 0.153944 0.00276508
0.5 1.25 1 0.2 1 0.152168 0.00372912
0.5 1.25 1 0.25 1 0.149911 0.00459402
0.5 1.25 1 0.3 1 0.147119 0.00567326
0.5 1.25 1 0.35 1 0.14388 0.00642996
0.5 1.25 1 0.4 1 0.140051 0.00756365
0.5 1.25 1 0.45 1 0.135573 0.00843739
0.5 1.25 1 0.5 1 0.130726 0.009528
0.5 1.25 1 0.55 1 0.124992 0.0104785
0.5 1.25 1 0.6 1 0.119286 0.0115547
0.5 1.25 1 0.65 1 0.11224 0.0126238
0.5 1.25 1 0.7 1 0.104884 0.013529
0.5 1.25 1 0.75 1 0.0964945 0.0146404
0.5 1.25 1 0.8 1 0.0877359 0.0157784
0.5 1.25 1 0.85 1 0.0781388 0.0166275
0.5 1.25 1 0.9 1 0.0673848 0.0180519
0.5 1.25 1 0.95 1 0.0561034 0.0190648
0.5 1.25 1 1 1 0.043858 0.0204467
0.5 1.25 1 1.05 1 0.0302275 0.0214189
0.5 1.25 1 1.1 1 0.0157391 0.023047
0.5 1.25 1 1.15 1 -0.000381023 0.0241086
0.5 1.25 1 1.2 1 -0.0179864 0.0257734

0.6 1.25 1 0 1 0.145521 -nan
0.6 1.25 1 0.05 1 0.145278 0.000846349
0.6 1.25 1 0.1 1 0.144569 0.00171719
0.6 1.25 1 0.15 1 0.143434 0.0025586
0.6 1.25 1 0.2 1 0.141825 0.00345685
0.6 1.25 1 0.25 1 0.139653 0.00432232
0.6 1.25 1 0.3 1 0.136906 0.00521407
0.6 1.25 1 0.35 1 0.133857 0.0060585
0.6 1.25 1 0.4 1 0.13017 0.00703349
0.6 1.25 1 0.45 1 0.125861 0.00796292
0.6 1.25 1 0.5 1 0.121329 0.00881761
0.6 1.25 1 0.55 1 0.115921 0.00954289
0.6 1.25 1 0.6 1 0.110023 0.01073
0.6 1.25 1 0.65 1 0.103409 0.011635
0.6 1.25 1 0.7 1 0.096262 0.0126265
0.6 1.25 1 0.75 1 0.0885094 0.0135733
0.6 1.25 1 0.8 1 0.0797705 0.0145069
0.6 1.25 1 0.85 1 0.0702245 0.0159719
0.6 1.25 1 0.9 1 0.0597923 0.0168485
0.6 1.25 1 0.95 1 0.0485299 0.0180128
0.6 1.25 1 1 1 0.0361116 0.0190898
0.6 1.25 1 1.05 1 0.0222518 0.0202005
0.6 1.25 1 1.1 1 0.00821351 0.0215171
0.6 1.25 1 1.15 1 -0.00846714 0.0231453
0.6 1.25 1 1.2 1 -0.0258658 0.0246059

0.7 1.25 1 0 1 0.136295 -nan
0.7 1.25 1 0.05 1 0.136067 0.000802062
0.7 1.25 1 0.1 1 0.135414 0.00162176
0.7 1.25 1 0.15 1 0.134283 0.00242126
0.7 1.25 1 0.2 1 0.132699 0.00323641
0.7 1.25 1 0.25 1 0.130671 0.00402855
0.7 1.25 1 0.3 1 0.128254 0.00481052
0.7 1.25 1 0.35 1 0.125346 0.00567141
0.7 1.25 1 0.4 1 0.121867 0.00651945
0.7 1.25 1 0.45 1 0.117834 0.00740515
0.7 1.25 1 0.5 1 0.113249 0.0081883
0.7 1.25 1 0.55 1 0.108318 0.0090627
0.7 1.25 1 0.6 1 0.102845 0.0101392
0.7 1.25 1 0.65 1 0.0963528 0.0108112
0.7 1.25 1 0.7 1 0.0894769 0.0118709
0.7 1.25 1 0.75 1 0.0821457 0.0128703
0.7 1.25 1 0.8 1 0.0738311 0.0136593
0.7 1.25 1 0.85 1 0.0644377 0.0147476
