alpha b0 d sigma tau Gmean Gstd
0 1.25 1 0 0.6 0.250002 6.5166e-08
0 1.25 1 0.05 0.6 0.250028 0.00122771
0 1.25 1 0.1 0.6 0.249986 0.00245424
0 1.25 1 0.15 0.6 0.250042 0.00369338
0 1.25 1 0.2 0.6 0.250021 0.0048499
0 1.25 1 0.25 0.6 0.250011 0.00613265
0 1.25 1 0.3 0.6 0.250034 0.00736973
0 1.25 1 0.35 0.6 0.2499 0.00850263
0 1.25 1 0.4 0.6 0.250029 0.0098831
0 1.25 1 0.45 0.6 0.249937 0.0111106
0 1.25 1 0.5 0.6 0.249801 0.0123351
0 1.25 1 0.55 0.6 0.250154 0.0134138
0 1.25 1 0.6 0.6 0.250123 0.0148981
0 1.25 1 0.65 0.6 0.249968 0.0160598
0 1.25 1 0.7 0.6 0.24986 0.0171264
0 1.25 1 0.75 0.6 0.249799 0.0184564
0 1.25 1 0.8 0.6 0.250186 0.0194984
0 1.25 1 0.85 0.6 0.250182 0.0208442
0 1.25 1 0.9 0.6 0.250225 0.0222952
0 1.25 1 0.95 0.6 0.249243 0.0234594
0 1.25 1 1 0.6 0.250322 0.0244183
0 1.25 1 1.05 0.6 0.249473 0.0260519
0 1.25 1 1.1 0.6 0.250234 0.0270214
0 1.25 1 1.15 0.6 0.250291 0.0281029
0 1.25 1 1.2 0.6 0.249711 0.0294499

0.1 1.25 1 0 0.6 0.222499 -nan
0.1 1.25 1 0.05 0.6 0.222336 0.00107265
0.1 1.25 1 0.1 0.6 0.221872 0.0021238
0.1 1.25 1 0.15 0.6 0.221103 0.00319377
0.1 1.25 1 0.2 0.6 0.219993 0.00425322
0.1 1.25 1 0.25 0.6 0.218608 0.00537705
0.1 1.25 1 0.3 0.6 0.216753 0.00640811
0.1 1.25 1 0.35 0.6 0.21496 0.00745872
0.1 1.25 1 0.4 0.6 0.212659 0.00850181
0.1 1.25 1 0.45 0.6 0.209969 0.00975102
0.1 1.25 1 0.5 0.6 0.206998 0.0106877
0.1 1.25 1 0.55 0.6 0.203851 0.0118112
0.1 1.25 1 0.6 0.6 0.200072 0.012728
0.1 1.25 1 0.65 0.6 0.196154 0.0138693
0.1 1.25 1 0.7 0.6 0.19195 0.0151399
0.1 1.25 1 0.75 0.6 0.187317 0.0162078
0.1 1.25 1 0.8 0.6 0.182799 0.0169883
0.1 1.25 1 0.85 0.6 0.177051 0.0184567
0.1 1.25 1 0.9 0.6 0.171624 0.0194409
0.1 1.25 1 0.95 0.6 0.165487 0.0204449
0.1 1.25 1 1 0.6 0.159179 0.0216611
0.1 1.25 1 1.05 0.6 0.153171 0.0228546
0.1 1.25 1 1.1 0.6 0.146058 0.0237708
0.1 1.25 1 1.15 0.6 0.139005 0.0249386
0.1 1.25 1 1.2 0.6 0.131292 0.0260326

0.2 1.25 1 0 0.6 0.200802 -nan
0.2 1.25 1 0.05 0.6 0.200587 0.000949428
0.2 1.25 1 0.1 0.6 0.19995 0.00191083
0.2 1.25 1 0.15 0.6 0.198993 0.00285497
0.2 1.25 1 0.2 0.6 0.197463 0.00377512
0.2 1.25 1 0.25 0.6 0.195721 0.00474905
0.2 1.25 1 0.3 0.6 0.193369 0.00571851
0.2 1.25 1 0.35 0.6 0.190632 0.00671963
0.2 1.25 1 0.4 0.6 0.187476 0.00759401
0.2 1.25 1 0.45 0.6 0.183894 0.00846306
0.2 1.25 1 0.5 0.6 0.17992 0.00953755
0.2 1.25 1 0.55 0.6 0.175571 0.0104903
0.2 1.25 1 0.6 0.6 0.170668 0.0114899
0.2 1.25 1 0.65 0.6 0.165391 0.0125194
0.2 1.25 1 0.7 0.6 0.159675 0.0133856
0.2 1.25 1 0.75 0.6 0.153288 0.0144028
0.2 1.25 1 0.8 0.6 0.146606 0.0154697
0.2 1.25 1 0.85 0.6 0.139385 0.0164542
0.2 1.25 1 0.9 0.6 0.131866 0.0174761
0.2 1.25 1 0.95 0.6 0.123555 0.018406
0.2 1.25 1 1 0.6 0.115207 0.0195855
0.2 1.25 1 1.05 0.6 0.105553 0.0204147
0.2 1.25 1 1.1 0.6 0.0955204 0.0217294
0.2 1.25 1 1.15 0.6 0.0851848 0.0226004
0.2 1.25 1 1.2 0.6 0.0737992 0.023553

0.3 1.25 1 0 0.6 0.183175 3.71597e-08
0.3 1.25 1 0.05 0.6 0.182965 0.000850831
0.3 1.25 1 0.1 0.6 0.182293 0.00170982
0.3 1.25 1 0.15 0.6 0.18116 0.00256874
0.3 1.25 1 0.2 0.6 0.179672 0.00340366
0.3 1.25 1 0.25 0.6 0.177747 0.00427098
0.3 1.25 1 0.3 0.6 0.17532 0.00519062
