alpha b0 d sigma tau Gmean Gstd
0 1.25 1 0 5 0.250002 6.5166e-08
0 1.25 1 0.05 5 0.249999 0.00350193
0 1.25 1 0.1 5 0.250022 0.00708262
0 1.25 1 0.15 5 0.249974 0.0106056
0 1.25 1 0.2 5 0.250305 0.0140209
0 1.25 1 0.25 5 0.249841 0.0175467
0 1.25 1 0.3 5 0.250207 0.0209904
0 1.25 1 0.35 5 0.250163 0.0247573
0 1.25 1 0.4 5 0.25002 0.0282231
0 1.25 1 0.45 5 0.249949 0.0319585
0 1.25 1 0.5 5 0.25028 0.0350944
0 1.25 1 0.55 5 0.250505 0.0391741
0 1.25 1 0.6 5 0.249623 0.0431336
0 1.25 1 0.65 5 0.249086 0.0456732
0 1.25 1 0.7 5 0.250077 0.0494065
0 1.25 1 0.75 5 0.249802 0.053166
0 1.25 1 0.8 5 0.251437 0.0564174
0 1.25 1 0.85 5 0.250222 0.0595101
0 1.25 1 0.9 5 0.25081 0.0642776
0 1.25 1 0.95 5 0.25015 0.0666892
0 1.25 1 1 5 0.250198 0.0707097
0 1.25 1 1.05 5 0.250202 0.0742731
0 1.25 1 1.1 5 0.250122 0.0776816
0 1.25 1 1.15 5 0.249212 0.0817832
0 1.25 1 1.2 5 0.250236 0.08535

0.1 1.25 1 0 5 0.222499 -nan
0.1 1.25 1 0.05 5 0.222311 0.00310538
0.1 1.25 1 0.1 5 0.221881 0.00614544
0.1 1.25 1 0.15 5 0.221082 0.00913345
0.1 1.25 1 0.2 5 0.219563 0.0122931
0.1 1.25 1 0.25 5 0.218135 0.0151892
0.1 1.25 1 0.3 5 0.216285 0.0184448
0.1 1.25 1 0.35 5 0.213682 0.0215746
0.1 1.25 1 0.4 5 0.211648 0.0247699
0.1 1.25 1 0.45 5 0.208531 0.0276747
0.1 1.25 1 0.5 5 0.205106 0.0305874
0.1 1.25 1 0.55 5 0.200696 0.0336656
0.1 1.25 1 0.6 5 0.197224 0.0368668
0.1 1.25 1 0.65 5 0.192531 0.0401798
0.1 1.25 1 0.7 5 0.187575 0.0432181
0.1 1.25 1 0.75 5 0.182753 0.0458336
0.1 1.25 1 0.8 5 0.176813 0.0492753
0.1 1.25 1 0.85 5 0.171104 0.0524884
0.1 1.25 1 0.9 5 0.164256 0.0563167
0.1 1.25 1 0.95 5 0.158068 0.059876
0.1 1.25 1 1 5 0.149165 0.0622264
0.1 1.25 1 1.05 5 0.142542 0.0637292
0.1 1.25 1 1.1 5 0.134304 0.068397
0.1 1.25 1 1.15 5 0.126915 0.0716116
0.1 1.25 1 1.2 5 0.117785 0.0757119

0.2 1.25 1 0 5 0.200802 -nan
0.2 1.25 1 0.05 5 0.200578 0.00269339
0.2 1.25 1 0.1 5 0.199707 0.00539857
0.2 1.25 1 0.15 5 0.198425 0.00822807
0.2 1.25 1 0.2 5 0.196683 0.0109808
0.2 1.25 1 0.25 5 0.194159 0.0136882
0.2 1.25 1 0.3 5 0.191102 0.0164731
0.2 1.25 1 0.35 5 0.188364 0.0191228
