alpha b0 d sigma tau Gmean Gstd
0 1.25 1 0 1.2 0.250002 6.5166e-08
0 1.25 1 0.05 1.2 0.250008 0.0017209
0 1.25 1 0.1 1.2 0.250024 0.00346777
0 1.25 1 0.15 1.2 0.25005 0.00523092
0 1.25 1 0.2 1.2 0.25008 0.00692496
0 1.25 1 0.25 1.2 0.249976 0.0086733
0 1.25 1 0.3 1.2 0.250349 0.0104512
0 1.25 1 0.35 1.2 0.249919 0.012069
0 1.25 1 0.4 1.2 0.250085 0.013794
0 1.25 1 0.45 1.2 0.249979 0.0154087
0 1.25 1 0.5 1.2 0.250313 0.0174233
0 1.25 1 0.55 1.2 0.2503 0.0190359
0 1.25 1 0.6 1.2 0.250001 0.0206904
0 1.25 1 0.65 1.2 0.250047 0.0224842
0 1.25 1 0.7 1.2 0.249913 0.0240333
0 1.25 1 0.75 1.2 0.249901 0.0257495
0 1.25 1 0.8 1.2 0.250183 0.0278094
0 1.25 1 0.85 1.2 0.250379 0.0294351
0 1.25 1 0.9 1.2 0.25006 0.0311188
0 1.25 1 0.95 1.2 0.249978 0.0329974
0 1.25 1 1 1.2 0.248997 0.035107
0 1.25 1 1.05 1.2 0.249907 0.0363708
0 1.25 1 1.1 1.2 0.249972 0.0378081
0 1.25 1 1.15 1.2 0.249918 0.039768
0 1.25 1 1.2 1.2 0.249551 0.0420134

0.1 1.25 1 0 1.2 0.222499 -nan
0.1 1.25 1 0.05 1.2 0.222338 0.00151334
0.1 1.25 1 0.1 1.2 0.221838 0.0029784
0.1 1.25 1 0.15 1.2 0.221025 0.00456819
0.1 1.25 1 0.2 1.2 0.219808 0.00603993
0.1 1.25 1 0.25 1.2 0.218364 0.0075315
0.1 1.25 1 0.3 1.2 0.216437 0.00904072
0.1 1.25 1 0.35 1.2 0.214209 0.0106099
0.1 1.25 1 0.4 1.2 0.211948 0.012159
0.1 1.25 1 0.45 1.2 0.208852 0.0135045
0.1 1.25 1 0.5 1.2 0.205681 0.0151258
0.1 1.25 1 0.55 1.2 0.202128 0.0165965
0.1 1.25 1 0.6 1.2 0.198159 0.0182371
0.1 1.25 1 0.65 1.2 0.194108 0.01957
0.1 1.25 1 0.7 1.2 0.189681 0.0213928
0.1 1.25 1 0.75 1.2 0.18471 0.0228143
0.1 1.25 1 0.8 1.2 0.179672 0.0243171
0.1 1.25 1 0.85 1.2 0.173932 0.025843
0.1 1.25 1 0.9 1.2 0.167985 0.0277083
0.1 1.25 1 0.95 1.2 0.161303 0.0286733
0.1 1.25 1 1 1.2 0.154327 0.0307294
0.1 1.25 1 1.05 1.2 0.148002 0.0318529
0.1 1.25 1 1.1 1.2 0.14017 0.0339458
0.1 1.25 1 1.15 1.2 0.132508 0.0351717
0.1 1.25 1 1.2 1.2 0.124072 0.0366661

0.2 1.25 1 0 1.2 0.200802 -nan
0.2 1.25 1 0.05 1.2 0.200582 0.00136098
0.2 1.25 1 0.1 1.2 0.199898 0.00269062
0.2 1.25 1 0.15 1.2 0.198732 0.00402469
0.2 1.25 1 0.2 1.2 0.19702 0.00534856
0.2 1.25 1 0.25 1.2 0.194997 0.00673541
0.2 1.25 1 0.3 1.2 0.192294 0.00804696
0.2 1.25 1 0.35 1.2 0.189176 0.00942991
0.2 1.25 1 0.4 1.2 0.185572 0.0107582
0.2 1.25 1 0.45 1.2 0.181409 0.0119988
0.2 1.25 1 0.5 1.2 0.176883 0.0135824
0.2 1.25 1 0.55 1.2 0.171891 0.0148642
0.2 1.25 1 0.6 1.2 0.166212 0.0161989
0.2 1.25 1 0.65 1.2 0.160229 0.0176526
0.2 1.25 1 0.7 1.2 0.153574 0.0187882
0.2 1.25 1 0.75 1.2 0.146285 0.0205261
0.2 1.25 1 0.8 1.2 0.139028 0.0218886
0.2 1.25 1 0.85 1.2 0.130406 0.0231564
0.2 1.25 1 0.9 1.2 0.121188 0.025071
0.2 1.25 1 0.95 1.2 0.112087 0.0264693
0.2 1.25 1 1 1.2 0.101272 0.0278115
0.2 1.25 1 1.05 1.2 0.0916087 0.0292602
0.2 1.25 1 1.1 1.2 0.0802109 0.0305831
0.2 1.25 1 1.15 1.2 0.0680247 0.0322457
0.2 1.25 1 1.2 1.2 0.0549485 0.0336075

0.3 1.25 1 0 1.2 0.183175 3.71597e-08
0.3 1.25 1 0.05 1.2 0.18292 0.00120729
0.3 1.25 1 0.1 1.2 0.182141 0.00243895
0.3 1.25 1 0.15 1.2 0.180795 0.00363388
0.3 1.25 1 0.2 1.2 0.178951 0.00484093
0.3 1.25 1 0.25 1.2 0.176543 0.0061184
0.3 1.25 1 0.3 1.2 0.173654 0.00729954
0.3 1.25 1 0.35 1.2 0.170278 0.00843063
0.3 1.25 1 0.4 1.2 0.16621 0.00976174
0.3 1.25 1 0.45 1.2 0.161623 0.0109872
0.3 1.25 1 0.5 1.2 0.156628 0.0122121
0.3 1.25 1 0.55 1.2 0.150749 0.0136016
0.3 1.25 1 0.6 1.2 0.144508 0.014958
0.3 1.25 1 0.65 1.2 0.137442 0.0161554
0.3 1.25 1 0.7 1.2 0.130013 0.0173381
0.3 1.25 1 0.75 1.2 0.121727 0.0185571
0.3 1.25 1 0.8 1.2 0.113335 0.0198869
0.3 1.25 1 0.85 1.2 0.103073 0.0213999
0.3 1.25 1 0.9 1.2 0.0930738 0.0226875
0.3 1.25 1 0.95 1.2 0.081759 0.0241975
0.3 1.25 1 1 1.2 0.0698134 0.0251886
0.3 1.25 1 1.05 1.2 0.0572573 0.026957
0.3 1.25 1 1.1 1.2 0.0433517 0.0284867
0.3 1.25 1 1.15 1.2 0.0289646 0.0298474
0.3 1.25 1 1.2 1.2 0.013629 0.0317516

0.4 1.25 1 0 1.2 0.168531 -nan
0.4 1.25 1 0.05 1.2 0.168245 0.00108615
0.4 1.25 1 0.1 1.2 0.167448 0.00222305
