alpha b0 d sigma tau Gmean Gstd
0 1.25 1 0 0.5 0.250002 6.5166e-08
0 1.25 1 0.05 0.5 0.250021 0.00112623
0 1.25 1 0.1 0.5 0.250024 0.00223543
0 1.25 1 0.15 0.5 0.250021 0.0033228
0 1.25 1 0.2 0.5 0.249971 0.00445883
0 1.25 1 0.25 0.5 0.250058 0.00552664
0 1.25 1 0.3 0.5 0.250009 0.00672578
0 1.25 1 0.35 0.5 0.249959 0.0078995
0 1.25 1 0.4 0.5 0.249973 0.00896746
0 1.25 1 0.45 0.5 0.249858 0.010041
0 1.25 1 0.5 0.5 0.249917 0.0114127
0 1.25 1 0.55 0.5 0.249986 0.0124643
0 1.25 1 0.6 0.5 0.25005 0.0134252
0 1.25 1 0.65 0.5 0.249976 0.0146035
0 1.25 1 0.7 0.5 0.249969 0.0155926
0 1.25 1 0.75 0.5 0.249905 0.0169431
0 1.25 1 0.8 0.5 0.249869 0.0180129
0 1.25 1 0.85 0.5 0.249649 0.0190162
0 1.25 1 0.9 0.5 0.249882 0.0200471
0 1.25 1 0.95 0.5 0.250102 0.0213879
0 1.25 1 1 0.5 0.250131 0.0222352
0 1.25 1 1.05 0.5 0.249809 0.0234771
0 1.25 1 1.1 0.5 0.249991 0.0245225
0 1.25 1 1.15 0.5 0.250446 0.0257701
0 1.25 1 1.2 0.5 0.249886 0.0268779

0.1 1.25 1 0 0.5 0.222499 -nan
0.1 1.25 1 0.05 0.5 0.222359 0.000968979
0.1 1.25 1 0.1 0.5 0.221925 0.00193735
0.1 1.25 1 0.15 0.5 0.221081 0.00297038
0.1 1.25 1 0.2 0.5 0.220056 0.00387991
0.1 1.25 1 0.25 0.5 0.218781 0.00489156
0.1 1.25 1 0.3 0.5 0.217121 0.00581371
0.1 1.25 1 0.35 0.5 0.215161 0.00687335
0.1 1.25 1 0.4 0.5 0.212851 0.0078066
0.1 1.25 1 0.45 0.5 0.210316 0.00875537
0.1 1.25 1 0.5 0.5 0.207389 0.00990115
0.1 1.25 1 0.55 0.5 0.204221 0.0107839
0.1 1.25 1 0.6 0.5 0.200782 0.011712
0.1 1.25 1 0.65 0.5 0.197102 0.0127033
0.1 1.25 1 0.7 0.5 0.192888 0.0135929
0.1 1.25 1 0.75 0.5 0.18846 0.0146941
0.1 1.25 1 0.8 0.5 0.183641 0.0159072
0.1 1.25 1 0.85 0.5 0.178396 0.0164967
0.1 1.25 1 0.9 0.5 0.173337 0.0177225
0.1 1.25 1 0.95 0.5 0.167393 0.0188899
0.1 1.25 1 1 0.5 0.161495 0.0194571
0.1 1.25 1 1.05 0.5 0.155174 0.0206239
0.1 1.25 1 1.1 0.5 0.148425 0.0217402
0.1 1.25 1 1.15 0.5 0.141097 0.0228594
0.1 1.25 1 1.2 0.5 0.134114 0.023428

0.2 1.25 1 0 0.5 0.200802 -nan
0.2 1.25 1 0.05 0.5 0.200613 0.000865703
0.2 1.25 1 0.1 0.5 0.200042 0.00170661
0.2 1.25 1 0.15 0.5 0.199079 0.00260569
0.2 1.25 1 0.2 0.5 0.197643 0.00347556
0.2 1.25 1 0.25 0.5 0.195957 0.00430775
0.2 1.25 1 0.3 0.5 0.193734 0.00522614
0.2 1.25 1 0.35 0.5 0.191102 0.00609297
0.2 1.25 1 0.4 0.5 0.188285 0.00702879
0.2 1.25 1 0.45 0.5 0.184863 0.00775732
0.2 1.25 1 0.5 0.5 0.181009 0.00876309
0.2 1.25 1 0.55 0.5 0.176878 0.00966433
0.2 1.25 1 0.6 0.5 0.172346 0.0104669
0.2 1.25 1 0.65 0.5 0.167075 0.0113942
0.2 1.25 1 0.7 0.5 0.161672 0.012258
0.2 1.25 1 0.75 0.5 0.155754 0.0132547
0.2 1.25 1 0.8 0.5 0.149435 0.014054
0.2 1.25 1 0.85 0.5 0.14258 0.0150866
0.2 1.25 1 0.9 0.5 0.135177 0.0160391
0.2 1.25 1 0.95 0.5 0.127653 0.0170612
0.2 1.25 1 1 0.5 0.119528 0.01792
0.2 1.25 1 1.05 0.5 0.110569 0.018707
0.2 1.25 1 1.1 0.5 0.101224 0.0196082
0.2 1.25 1 1.15 0.5 0.0912472 0.0207019
0.2 1.25 1 1.2 0.5 0.0807103 0.0216952

0.3 1.25 1 0 0.5 0.183175 3.71597e-08
0.3 1.25 1 0.05 0.5 0.182971 0.00078001
0.3 1.25 1 0.1 0.5 0.182342 0.00156212
0.3 1.25 1 0.15 0.5 0.181399 0.00234353
0.3 1.25 1 0.2 0.5 0.179875 0.00315668
0.3 1.25 1 0.25 0.5 0.17813 0.00391914
0.3 1.25 1 0.3 0.5 0.175927 0.00469623
0.3 1.25 1 0.35 0.5 0.17315 0.00553882
0.3 1.25 1 0.4 0.5 0.170158 0.00626511
0.3 1.25 1 0.45 0.5 0.166631 0.00712345
0.3 1.25 1 0.5 0.5 0.162667 0.00779357
0.3 1.25 1 0.55 0.5 0.158505 0.00862332
0.3 1.25 1 0.6 0.5 0.153492 0.00959467
0.3 1.25 1 0.65 0.5 0.148241 0.0104368
0.3 1.25 1 0.7 0.5 0.142302 0.0112256
0.3 1.25 1 0.75 0.5 0.136056 0.0120009
0.3 1.25 1 0.8 0.5 0.129335 0.0129373
0.3 1.25 1 0.85 0.5 0.121882 0.0137496
0.3 1.25 1 0.9 0.5 0.114115 0.0146764
0.3 1.25 1 0.95 0.5 0.105972 0.0154402
0.3 1.25 1 1 0.5 0.0966215 0.0166221
0.3 1.25 1 1.05 0.5 0.0873962 0.0171923
0.3 1.25 1 1.1 0.5 0.0767144 0.018244
0.3 1.25 1 1.15 0.5 0.0663375 0.0190195
0.3 1.25 1 1.2 0.5 0.0547085 0.0200752

0.4 1.25 1 0 0.5 0.168531 -nan
0.4 1.25 1 0.05 0.5 0.16835 0.000718877
0.4 1.25 1 0.1 0.5 0.167742 0.00141583
0.4 1.25 1 0.15 0.5 0.166809 0.00213067
0.4 1.25 1 0.2 0.5 0.165472 0.0028245
0.4 1.25 1 0.25 0.5 0.163732 0.00359623
0.4 1.25 1 0.3 0.5 0.161555 0.00429438
0.4 1.25 1 0.35 0.5 0.158942 0.00494933
0.4 1.25 1 0.4 0.5 0.155987 0.00577606
0.4 1.25 1 0.45 0.5 0.152695 0.00644667
0.4 1.25 1 0.5 0.5 0.148845 0.00731452
0.4 1.25 1 0.55 0.5 0.144647 0.00783114
0.4 1.25 1 0.6 0.5 0.139951 0.00875913
0.4 1.25 1 0.65 0.5 0.1348 0.00955978
0.4 1.25 1 0.7 0.5 0.129347 0.0104251
0.4 1.25 1 0.75 0.5 0.123006 0.01125
0.4 1.25 1 0.8 0.5 0.116331 0.011881
0.4 1.25 1 0.85 0.5 0.109227 0.0127804
0.4 1.25 1 0.9 0.5 0.101491 0.0135227
0.4 1.25 1 0.95 0.5 0.0930831 0.014409
0.4 1.25 1 1 0.5 0.0843111 0.0152629
