alpha b0 d sigma tau Gmean Gstd
0 1.25 1 0 2 0.250002 6.5166e-08
0 1.25 1 0.05 2 0.250012 0.00225294
0 1.25 1 0.1 2 0.250046 0.00441088
0 1.25 1 0.15 2 0.250081 0.00664978
0 1.25 1 0.2 2 0.25011 0.00900292
0 1.25 1 0.25 2 0.250227 0.0111519
0 1.25 1 0.3 2 0.249738 0.0135119
0 1.25 1 0.35 2 0.25015 0.0157178
0 1.25 1 0.4 2 0.250135 0.0177109
0 1.25 1 0.45 2 0.249824 0.020145
0 1.25 1 0.5 2 0.250033 0.0224655
0 1.25 1 0.55 2 0.250395 0.0247528
0 1.25 1 0.6 2 0.250068 0.0265236
0 1.25 1 0.65 2 0.249768 0.0289785
0 1.25 1 0.7 2 0.249214 0.0309674
0 1.25 1 0.75 2 0.249998 0.0332594
0 1.25 1 0.8 2 0.250231 0.0356064
0 1.25 1 0.85 2 0.250409 0.0384667
0 1.25 1 0.9 2 0.250151 0.039966
0 1.25 1 0.95 2 0.24974 0.0429424
0 1.25 1 1 2 0.249704 0.0445176
0 1.25 1 1.05 2 0.250284 0.0466007
0 1.25 1 1.1 2 0.249607 0.0498348
0 1.25 1 1.15 2 0.250669 0.0507159
0 1.25 1 1.2 2 0.249797 0.0534661

0.1 1.25 1 0 2 0.222499 -nan
0.1 1.25 1 0.05 2 0.222344 0.00194318
0.1 1.25 1 0.1 2 0.221809 0.00392697
0.1 1.25 1 0.15 2 0.221017 0.00582704
0.1 1.25 1 0.2 2 0.219698 0.00782908
0.1 1.25 1 0.25 2 0.21819 0.00976866
0.1 1.25 1 0.3 2 0.216407 0.0116186
0.1 1.25 1 0.35 2 0.21415 0.0138569
0.1 1.25 1 0.4 2 0.211387 0.0155404
0.1 1.25 1 0.45 2 0.208519 0.0177321
0.1 1.25 1 0.5 2 0.205313 0.0196899
0.1 1.25 1 0.55 2 0.201729 0.0214292
0.1 1.25 1 0.6 2 0.197653 0.0233795
0.1 1.25 1 0.65 2 0.193339 0.0255071
0.1 1.25 1 0.7 2 0.188231 0.0276218
0.1 1.25 1 0.75 2 0.183122 0.029833
0.1 1.25 1 0.8 2 0.178216 0.0315421
0.1 1.25 1 0.85 2 0.172242 0.0332104
0.1 1.25 1 0.9 2 0.166733 0.0356068
0.1 1.25 1 0.95 2 0.159096 0.0375177
0.1 1.25 1 1 2 0.1526 0.0390241
0.1 1.25 1 1.05 2 0.145194 0.0411865
0.1 1.25 1 1.1 2 0.137022 0.0437035
0.1 1.25 1 1.15 2 0.129003 0.0448284
0.1 1.25 1 1.2 2 0.122002 0.0474674

0.2 1.25 1 0 2 0.200802 -nan
0.2 1.25 1 0.05 2 0.200579 0.00171786
0.2 1.25 1 0.1 2 0.199822 0.00345083
0.2 1.25 1 0.15 2 0.198529 0.00517506
0.2 1.25 1 0.2 2 0.196968 0.00698141
0.2 1.25 1 0.25 2 0.194633 0.00862225
0.2 1.25 1 0.3 2 0.191765 0.01034
0.2 1.25 1 0.35 2 0.18868 0.0121587
0.2 1.25 1 0.4 2 0.184771 0.0138558
0.2 1.25 1 0.45 2 0.180743 0.0156546
0.2 1.25 1 0.5 2 0.175392 0.0173854
0.2 1.25 1 0.55 2 0.170279 0.0191286
0.2 1.25 1 0.6 2 0.164631 0.0211503
0.2 1.25 1 0.65 2 0.157788 0.0228278
0.2 1.25 1 0.7 2 0.15058 0.0247332
0.2 1.25 1 0.75 2 0.143049 0.026776
0.2 1.25 1 0.8 2 0.135648 0.0282434
0.2 1.25 1 0.85 2 0.126085 0.030103
0.2 1.25 1 0.9 2 0.117062 0.0320182
0.2 1.25 1 0.95 2 0.106409 0.0337386
0.2 1.25 1 1 2 0.0957425 0.035956
0.2 1.25 1 1.05 2 0.0850531 0.0374396
0.2 1.25 1 1.1 2 0.0726932 0.0397252
0.2 1.25 1 1.15 2 0.0602353 0.0412833
0.2 1.25 1 1.2 2 0.0463931 0.0432294

0.3 1.25 1 0 2 0.183175 3.71597e-08
0.3 1.25 1 0.05 2 0.182901 0.00156246
0.3 1.25 1 0.1 2 0.182089 0.00312116
0.3 1.25 1 0.15 2 0.180712 0.00475197
0.3 1.25 1 0.2 2 0.17866 0.00628081
0.3 1.25 1 0.25 2 0.175992 0.00781203
0.3 1.25 1 0.3 2 0.172905 0.00934735
0.3 1.25 1 0.35 2 0.169219 0.0109387
0.3 1.25 1 0.4 2 0.164544 0.0125913
0.3 1.25 1 0.45 2 0.15964 0.0141149
0.3 1.25 1 0.5 2 0.154258 0.0159961
0.3 1.25 1 0.55 2 0.148284 0.0175802
0.3 1.25 1 0.6 2 0.141591 0.0190615
0.3 1.25 1 0.65 2 0.133506 0.0207728
0.3 1.25 1 0.7 2 0.125758 0.0222486
0.3 1.25 1 0.75 2 0.116703 0.0243302
0.3 1.25 1 0.8 2 0.106848 0.02569
0.3 1.25 1 0.85 2 0.0965461 0.0276402
0.3 1.25 1 0.9 2 0.0847361 0.0291843
0.3 1.25 1 0.95 2 0.0736902 0.0311813
0.3 1.25 1 1 2 0.0598215 0.03302
0.3 1.25 1 1.05 2 0.0463205 0.0350639
0.3 1.25 1 1.1 2 0.0309682 0.0365121
0.3 1.25 1 1.15 2 0.0149783 0.0384758
0.3 1.25 1 1.2 2 -0.00148996 0.0399817

0.4 1.25 1 0 2 0.168531 -nan
0.4 1.25 1 0.05 2 0.168209 0.00142985
0.4 1.25 1 0.1 2 0.16731 0.00285306
0.4 1.25 1 0.15 2 0.165836 0.00428522
0.4 1.25 1 0.2 2 0.163756 0.00574234
0.4 1.25 1 0.25 2 0.161004 0.00708397
0.4 1.25 1 0.3 2 0.157881 0.00856716
0.4 1.25 1 0.35 2 0.153945 0.0101121
0.4 1.25 1 0.4 2 0.149368 0.0114605
