alpha b0 d sigma tau Gmean Gstd
0 1.25 1 0 0.8 0.250002 6.5166e-08
0 1.25 1 0.05 0.8 0.250006 0.00140449
0 1.25 1 0.1 0.8 0.250054 0.00285273
0 1.25 1 0.15 0.8 0.249886 0.00428132
0 1.25 1 0.2 0.8 0.250058 0.00569188
0 1.25 1 0.25 0.8 0.250029 0.00697309
0 1.25 1 0.3 0.8 0.25011 0.00848849
0 1.25 1 0.35 0.8 0.249876 0.00986923
0 1.25 1 0.4 0.8 0.249944 0.0112543
0 1.25 1 0.45 0.8 0.250043 0.0127612
0 1.25 1 0.5 0.8 0.24989 0.01412
0 1.25 1 0.55 0.8 0.250143 0.0156266
0 1.25 1 0.6 0.8 0.250278 0.017119
0 1.25 1 0.65 0.8 0.250239 0.018518
0 1.25 1 0.7 0.8 0.250083 0.0197578
0 1.25 1 0.75 0.8 0.250201 0.0213362
0 1.25 1 0.8 0.8 0.250315 0.022733
0 1.25 1 0.85 0.8 0.249456 0.0243307
0 1.25 1 0.9 0.8 0.249725 0.0254955
0 1.25 1 0.95 0.8 0.249956 0.0268923
0 1.25 1 1 0.8 0.250321 0.0284628
0 1.25 1 1.05 0.8 0.250471 0.0298337
0 1.25 1 1.1 0.8 0.249783 0.0309671
0 1.25 1 1.15 0.8 0.250156 0.0325534
0 1.25 1 1.2 0.8 0.250388 0.0338884

0.1 1.25 1 0 0.8 0.222499 -nan
0.1 1.25 1 0.05 0.8 0.222306 0.00123697
0.1 1.25 1 0.1 0.8 0.221825 0.00246249
0.1 1.25 1 0.15 0.8 0.22107 0.00373104
0.1 1.25 1 0.2 0.8 0.219986 0.00492881
0.1 1.25 1 0.25 0.8 0.218564 0.00617651
0.1 1.25 1 0.3 0.8 0.216721 0.00744314
0.1 1.25 1 0.35 0.8 0.214573 0.00864348
0.1 1.25 1 0.4 0.8 0.212319 0.00985867
0.1 1.25 1 0.45 0.8 0.209504 0.0112468
0.1 1.25 1 0.5 0.8 0.206284 0.0124052
0.1 1.25 1 0.55 0.8 0.203059 0.0136669
0.1 1.25 1 0.6 0.8 0.199258 0.0149568
0.1 1.25 1 0.65 0.8 0.195632 0.0160236
0.1 1.25 1 0.7 0.8 0.190669 0.0172135
0.1 1.25 1 0.75 0.8 0.186116 0.018707
0.1 1.25 1 0.8 0.8 0.180816 0.0197519
0.1 1.25 1 0.85 0.8 0.17556 0.021096
0.1 1.25 1 0.9 0.8 0.169828 0.0222795
0.1 1.25 1 0.95 0.8 0.163789 0.0233057
0.1 1.25 1 1 0.8 0.157517 0.0252287
0.1 1.25 1 1.05 0.8 0.150141 0.0261698
0.1 1.25 1 1.1 0.8 0.143015 0.0275362
0.1 1.25 1 1.15 0.8 0.135541 0.0287456
0.1 1.25 1 1.2 0.8 0.128165 0.0303653

0.2 1.25 1 0 0.8 0.200802 -nan
0.2 1.25 1 0.05 0.8 0.200598 0.00109025
0.2 1.25 1 0.1 0.8 0.19993 0.00218701
0.2 1.25 1 0.15 0.8 0.198798 0.00329809
0.2 1.25 1 0.2 0.8 0.197257 0.00438804
0.2 1.25 1 0.25 0.8 0.195212 0.00544883
0.2 1.25 1 0.3 0.8 0.192798 0.00665042
0.2 1.25 1 0.35 0.8 0.189963 0.00777101
0.2 1.25 1 0.4 0.8 0.186518 0.0089059
0.2 1.25 1 0.45 0.8 0.182864 0.00996135
