sigma,init_a,final_awake_rate,replicate,worker_id
0.1,0.1264911064067329,0.03968178348231433,1,2
0.1,0.1264911064067329,0.04548507343165234,2,3
0.1,0.1264911064067329,0.07352494889391406,3,4
0.1,0.1264911064067329,0.1794460216642574,4,5
0.1,0.1264911064067329,0.0040372756451398945,5,6
0.1,0.1264911064067329,0.10630933060159435,6,7
0.1,0.1264911064067329,0.1470027865771574,7,8
0.1,0.1264911064067329,0.09494129719248695,8,9
0.1,0.1264911064067329,0.005460533445771752,9,10
0.1,0.1264911064067329,0.26000137455775496,10,11
0.1,0.15924286822140069,2.844538773491811,1,12
0.1,0.15924286822140069,0.18689533280274398,2,13
0.1,0.15924286822140069,0.5929584411960334,3,14
0.1,0.15924286822140069,0.20402314609421404,4,15
0.1,0.15924286822140069,0.08481507893095813,5,16
0.1,0.15924286822140069,0.1568808127700665,6,17
0.1,0.15924286822140069,0.3611419306799301,7,7
0.1,0.15924286822140069,0.1744202444395815,8,4
0.1,0.15924286822140069,0.2177209876129394,9,9
0.1,0.15924286822140069,0.09969370289513801,10,6
0.1,0.2004748934509098,0.031116786253501734,1,5
0.1,0.2004748934509098,0.12327457469147184,2,12
0.1,0.2004748934509098,0.029656064075253494,3,13
0.1,0.2004748934509098,0.11884882930479668,4,2
0.1,0.2004748934509098,1.0244598049643137,5,10
0.1,0.2004748934509098,0.09297825959676354,6,11
0.1,0.2004748934509098,0.017879578534175163,7,8
0.1,0.2004748934509098,0.10229082573292268,8,14
0.1,0.2004748934509098,0.14474736986315695,9,16
0.1,0.2004748934509098,3.1295617918903655,10,3
0.1,0.2523829377920776,0.2884256099258921,1,15
0.1,0.2523829377920776,0.23092590006771202,2,17
0.1,0.2523829377920776,0.12505691489555895,3,4
0.1,0.2523829377920776,0.11354123057911024,4,6
0.1,0.2523829377920776,0.1762547349241343,5,7
0.1,0.2523829377920776,0.2803501323577094,6,9
0.1,0.2523829377920776,0.08070910725321237,7,3
0.1,0.2523829377920776,0.06384241443801615,8,5
0.1,0.2523829377920776,0.28322039040751384,9,12
0.1,0.2523829377920776,0.04260113979274172,10,8
0.1,0.3177312938897171,0.12821573730668415,1,13
0.1,0.3177312938897171,0.20789906093555185,2,15
0.1,0.3177312938897171,0.06159951722903238,3,14
0.1,0.3177312938897171,0.03326325558018685,4,10
0.1,0.3177312938897171,0.38511359304965687,5,2
0.1,0.3177312938897171,0.0028371017950951957,6,11
0.1,0.3177312938897171,0.24169298741911366,7,17
0.1,0.3177312938897171,0.0036720079915602537,8,16
0.1,0.3177312938897171,0.8396316483070149,9,4
0.1,0.3177312938897171,0.770273376023302,10,6
0.1,0.39999999999999436,0.2689888373426492,1,3
0.1,0.39999999999999436,0.03849088421567554,2,7
0.1,0.39999999999999436,1.8646582748520784,3,9
0.1,0.39999999999999436,0.08491150198776405,4,15
0.1,0.39999999999999436,1.0184634776386827,5,11
0.1,0.39999999999999436,1.2072406361333226,6,12
0.1,0.39999999999999436,0.02619861152729668,7,16
0.1,0.39999999999999436,0.19199694853178664,8,8
0.1,0.39999999999999436,0.33552508301315975,9,5
0.1,0.39999999999999436,0.10261279388994989,10,13
0.1,0.5035701647176575,0.4669757999490947,1,14
0.1,0.5035701647176575,0.16460913740973973,2,10
0.1,0.5035701647176575,0.2638168044630944,3,2
0.1,0.5035701647176575,0.8343392612242115,4,17
0.1,0.5035701647176575,0.024810220522416108,5,4
0.1,0.5035701647176575,0.19795137630685633,6,6
0.1,0.5035701647176575,0.8153273201879087,7,16
0.1,0.5035701647176575,1.124477470396086,8,3
0.1,0.5035701647176575,2.0528362184911497,9,15
0.1,0.5035701647176575,0.5147901978465432,10,7
0.1,0.6339572769844521,0.7612884775222589,1,9
0.1,0.6339572769844521,0.24626873232496563,2,11
0.1,0.6339572769844521,0.3296908498052386,3,14
0.1,0.6339572769844521,0.2975604928783677,4,12
0.1,0.6339572769844521,0.663734242016215,5,10
0.1,0.6339572769844521,0.06185339741033014,6,5
0.1,0.6339572769844521,0.31822824143108347,7,8
0.1,0.6339572769844521,1.4382140284905653,8,13
0.1,0.6339572769844521,1.0777619020685227,9,6
0.1,0.6339572769844521,0.3887625835471395,10,2
0.1,0.7981049259875584,0.2942389796452412,1,17
0.1,0.7981049259875584,0.4814995124257974,2,4
0.1,0.7981049259875584,2.843292445078552,3,15
0.1,0.7981049259875584,0.282768304565942,4,3
0.1,0.7981049259875584,0.6478049341621848,5,16
0.1,0.7981049259875584,0.20886559021348694,6,10
0.1,0.7981049259875584,4.7843073651475025,7,7
0.1,0.7981049259875584,4.200468823382852,8,9
0.1,0.7981049259875584,1.2548777300051555,9,11
0.1,0.7981049259875584,2.6430755370145387,10,14
0.1,1.0047545726038207,1.0998117168197652,1,12
0.1,1.0047545726038207,0.7357768075971947,2,2
0.1,1.0047545726038207,2.824797610450449,3,5
0.1,1.0047545726038207,3.0621716435496733,4,15
0.1,1.0047545726038207,1.1834470841348275,5,8
0.1,1.0047545726038207,0.858143708136039,6,4
0.1,1.0047545726038207,1.8527415877767028,7,13
