alpha b d0 sigma tau Gmean Gstd
0 1.25 1 0 1 inf -nan
0 1.25 1 0.2 1 inf -nan
0 1.25 1 0.4 1 inf -nan
0 1.25 1 0.6 1 inf -nan
0 1.25 1 0.8 1 inf -nan
0 1.25 1 1 1 inf -nan

0.1 1.25 1 0 1 0.222499 2.25064e-08
0.1 1.25 1 0.2 1 0.222808 0.00560699
0.1 1.25 1 0.4 1 0.223584 0.0111666
0.1 1.25 1 0.6 1 0.224451 0.0166039
0.1 1.25 1 0.8 1 0.224867 0.0223822
0.1 1.25 1 1 1 0.226708 0.0282201

0.2 1.25 1 0 1 0.200802 3.48469e-08
0.2 1.25 1 0.2 1 0.201025 0.0048946
0.2 1.25 1 0.4 1 0.20247 0.0104022
0.2 1.25 1 0.6 1 0.205092 0.0151429
0.2 1.25 1 0.8 1 0.208115 0.02095
0.2 1.25 1 1 1 0.213637 0.025432

0.3 1.25 1 0 1 0.183175 3.26893e-08
0.3 1.25 1 0.2 1 0.183904 0.00450627
0.3 1.25 1 0.4 1 0.186175 0.0093191
0.3 1.25 1 0.6 1 0.190342 0.0136262
0.3 1.25 1 0.8 1 0.196893 0.017909
0.3 1.25 1 1 1 0.201859 0.0239359

0.4 1.25 1 0 1 0.168531 -nan
0.4 1.25 1 0.2 1 0.16971 0.0042771
0.4 1.25 1 0.4 1 0.172639 0.00863425
0.4 1.25 1 0.6 1 0.177483 0.0129063
0.4 1.25 1 0.8 1 0.185505 0.017745
0.4 1.25 1 1 1 0.195099 0.0218345

0.5 1.25 1 0 1 0.156146 3.48966e-08
0.5 1.25 1 0.2 1 0.157259 0.0042006
0.5 1.25 1 0.4 1 0.161118 0.00775544
0.5 1.25 1 0.6 1 0.166734 0.0122942
0.5 1.25 1 0.8 1 0.175381 0.0163894
0.5 1.25 1 1 1 0.187765 0.019807

0.6 1.25 1 0 1 0.145521 1.67638e-08
0.6 1.25 1 0.2 1 0.147012 0.00381726
0.6 1.25 1 0.4 1 0.152107 0.00772256
0.6 1.25 1 0.6 1 0.158674 0.0119416
0.6 1.25 1 0.8 1 0.168534 0.0149276
0.6 1.25 1 1 1 0.1808 0.0194198

0.7 1.25 1 0 1 0.136295 -nan
0.7 1.25 1 0.2 1 0.137713 0.00356182
0.7 1.25 1 0.4 1 0.142331 0.00719645
0.7 1.25 1 0.6 1 0.150686 0.0110277
0.7 1.25 1 0.8 1 0.161677 0.0146638
0.7 1.25 1 1 1 0.176979 0.0172555

0.8 1.25 1 0 1 0.128967 2.79397e-08
0.8 1.25 1 0.2 1 0.130605 0.00327913
0.8 1.25 1 0.4 1 0.135636 0.00686253
0.8 1.25 1 0.6 1 0.144152 0.0100152
0.8 1.25 1 0.8 1 0.156645 0.0134581
0.8 1.25 1 1 1 0.170373 0.0171502

0.9 1.25 1 0 1 0.121721 -nan
0.9 1.25 1 0.2 1 0.123485 0.00319478
0.9 1.25 1 0.4 1 0.128852 0.0062644
0.9 1.25 1 0.6 1 0.137628 0.00996591
0.9 1.25 1 0.8 1 0.150736 0.0129331
0.9 1.25 1 1 1 0.167615 0.0158735

1 1.25 1 0 1 0.115265 1.99312e-08
1 1.25 1 0.2 1 0.117 0.00305044
1 1.25 1 0.4 1 0.122668 0.00609287
1 1.25 1 0.6 1 0.13211 0.00907959
1 1.25 1 0.8 1 0.145554 0.0124806
1 1.25 1 1 1 0.162908 0.0148415

1.1 1.25 1 0 1 0.109474 -nan
1.1 1.25 1 0.2 1 0.111358 0.00280402
