alpha b d0 sigma tau Gmean Gstd
0 1.25 1 0 5 inf -nan
0 1.25 1 0.2 5 inf -nan
0 1.25 1 0.4 5 inf -nan
0 1.25 1 0.6 5 inf -nan
0 1.25 1 0.8 5 inf -nan
0 1.25 1 1 5 inf -nan

0.1 1.25 1 0 5 0.222499 2.25064e-08
0.1 1.25 1 0.2 5 0.222025 0.0123258
0.1 1.25 1 0.4 5 0.223805 0.0247016
0.1 1.25 1 0.6 5 0.223969 0.0381305
0.1 1.25 1 0.8 5 0.225565 0.0502076
0.1 1.25 1 1 5 0.226225 0.0601603

0.2 1.25 1 0 5 0.200802 3.48469e-08
0.2 1.25 1 0.2 5 0.201569 0.0111075
0.2 1.25 1 0.4 5 0.203286 0.0237037
0.2 1.25 1 0.6 5 0.206581 0.0341547
0.2 1.25 1 0.8 5 0.209222 0.0458087
0.2 1.25 1 1 5 0.212893 0.0577365

0.3 1.25 1 0 5 0.183175 3.26893e-08
0.3 1.25 1 0.2 5 0.183994 0.0106398
0.3 1.25 1 0.4 5 0.187858 0.0203468
0.3 1.25 1 0.6 5 0.190477 0.0311674
0.3 1.25 1 0.8 5 0.19576 0.0423819
0.3 1.25 1 1 5 0.204245 0.0532889

0.4 1.25 1 0 5 0.168531 -nan
0.4 1.25 1 0.2 5 0.169781 0.00948283
0.4 1.25 1 0.4 5 0.173317 0.0190297
0.4 1.25 1 0.6 5 0.180117 0.0290231
0.4 1.25 1 0.8 5 0.188646 0.0381396
0.4 1.25 1 1 5 0.197199 0.0481061

0.5 1.25 1 0 5 0.156146 3.48966e-08
0.5 1.25 1 0.2 5 0.157807 0.00913041
0.5 1.25 1 0.4 5 0.161713 0.0184002
0.5 1.25 1 0.6 5 0.166924 0.0268261
0.5 1.25 1 0.8 5 0.179055 0.0351037
0.5 1.25 1 1 5 0.192082 0.0450771

0.6 1.25 1 0 5 0.145521 1.67638e-08
0.6 1.25 1 0.2 5 0.146898 0.00813593
0.6 1.25 1 0.4 5 0.152214 0.0171528
0.6 1.25 1 0.6 5 0.160642 0.0245489
0.6 1.25 1 0.8 5 0.171368 0.0333996
0.6 1.25 1 1 5 0.186644 0.0425645

0.7 1.25 1 0 5 0.136295 -nan
