alpha b d0 sigma tau Gmean Gstd
0 1.25 1 0.4 1.5 inf -nan
0 1.25 1 0.6 1.5 inf -nan
0 1.25 1 0.8 1.5 inf -nan
0 1.25 1 1 1.5 inf -nan

0.1 1.25 1 0.4 1.5 inf -nan
0.1 1.25 1 0.6 1.5 inf -nan
0.1 1.25 1 0.8 1.5 inf -nan
0.1 1.25 1 1 1.5 inf -nan

0.2 1.25 1 0.4 1.5 inf -nan
0.2 1.25 1 0.6 1.5 inf -nan
0.2 1.25 1 0.8 1.5 inf -nan
0.2 1.25 1 1 1.5 inf -nan

0.3 1.25 1 0.4 1.5 inf -nan
0.3 1.25 1 0.6 1.5 inf -nan
0.3 1.25 1 0.8 1.5 inf -nan
0.3 1.25 1 1 1.5 inf -nan

0.4 1.25 1 0.4 1.5 inf -nan
0.4 1.25 1 0.6 1.5 inf -nan
0.4 1.25 1 0.8 1.5 inf -nan
0.4 1.25 1 1 1.5 inf -nan

0.5 1.25 1 0.4 1.5 inf -nan
0.5 1.25 1 0.6 1.5 inf -nan
0.5 1.25 1 0.8 1.5 inf -nan
0.5 1.25 1 1 1.5 inf -nan

0.6 1.25 1 0.4 1.5 inf -nan
0.6 1.25 1 0.6 1.5 inf -nan
0.6 1.25 1 0.8 1.5 inf -nan
0.6 1.25 1 1 1.5 inf -nan

0.7 1.25 1 0.4 1.5 inf -nan
0.7 1.25 1 0.6 1.5 inf -nan
0.7 1.25 1 0.8 1.5 inf -nan
0.7 1.25 1 1 1.5 inf -nan

0.8 1.25 1 0.4 1.5 inf -nan
0.8 1.25 1 0.6 1.5 inf -nan
0.8 1.25 1 0.8 1.5 inf -nan
0.8 1.25 1 1 1.5 inf -nan

0.9 1.25 1 0.4 1.5 inf -nan
0.9 1.25 1 0.6 1.5 inf -nan
0.9 1.25 1 0.8 1.5 inf -nan
0.9 1.25 1 1 1.5 inf -nan

1 1.25 1 0.4 1.5 0.663504 0.00930796
1 1.25 1 0.6 1.5 inf -nan
1 1.25 1 0.8 1.5 inf -nan
1 1.25 1 1 1.5 inf -nan

1.1 1.25 1 0.4 1.5 0.639317 0.00912016
1.1 1.25 1 0.6 1.5 0.651486 0.0135619
1.1 1.25 1 0.8 1.5 inf -nan
1.1 1.25 1 1 1.5 inf -nan

1.2 1.25 1 0.4 1.5 0.615874 0.00839385
1.2 1.25 1 0.6 1.5 0.629114 0.0134508
1.2 1.25 1 0.8 1.5 0.647138 0.0180469
1.2 1.25 1 1 1.5 inf -nan

1.3 1.25 1 0.4 1.5 0.595986 0.00881078
1.3 1.25 1 0.6 1.5 0.609675 0.0132081
1.3 1.25 1 0.8 1.5 0.629756 0.0183523
1.3 1.25 1 1 1.5 inf -nan

1.4 1.25 1 0.4 1.5 0.577571 0.00849386
1.4 1.25 1 0.6 1.5 0.592895 0.0132745
1.4 1.25 1 0.8 1.5 0.612125 0.0176607
1.4 1.25 1 1 1.5 inf -nan

1.5 1.25 1 0.4 1.5 0.561351 0.00822306
1.5 1.25 1 0.6 1.5 0.576367 0.0129856
1.5 1.25 1 0.8 1.5 0.597792 0.0171733
1.5 1.25 1 1 1.5 0.623554 0.0211498

1.6 1.25 1 0.4 1.5 0.546239 0.00807764
1.6 1.25 1 0.6 1.5 0.561617 0.0123591
1.6 1.25 1 0.8 1.5 0.583568 0.0176769
1.6 1.25 1 1 1.5 0.610223 0.0204827

1.7 1.25 1 0.4 1.5 0.53178 0.00837509
1.7 1.25 1 0.6 1.5 0.547869 0.0129153
1.7 1.25 1 0.8 1.5 0.571653 0.0165958
1.7 1.25 1 1 1.5 0.598458 0.0210846

1.8 1.25 1 0.4 1.5 0.518442 0.00832336
1.8 1.25 1 0.6 1.5 0.53498 0.0119275
1.8 1.25 1 0.8 1.5 0.558342 0.0161115
1.8 1.25 1 1 1.5 0.587351 0.0208819

1.9 1.25 1 0.4 1.5 0.505929 0.0081549
1.9 1.25 1 0.6 1.5 0.524371 0.0120465
1.9 1.25 1 0.8 1.5 0.546865 0.0163317
1.9 1.25 1 1 1.5 0.575927 0.0203753

2 1.25 1 0.4 1.5 0.494341 0.00789371
