alpha b d0 sigma tau Gmean Gstd
1.8 1.25 1 0.8 0.5 0.105284 0.00610289
1.8 1.25 1 1 0.5 0.11892 0.0076981

1.9 1.25 1 0 0.5 0.0779938 5.81611e-09
1.9 1.25 1 0.2 0.5 0.0795343 0.00142182
1.9 1.25 1 0.4 0.5 0.0840296 0.00291855
1.9 1.25 1 0.6 0.5 0.0914825 0.00444543
1.9 1.25 1 0.8 0.5 0.1021 0.00570438
1.9 1.25 1 1 0.5 0.115651 0.00762045

2 1.25 1 0 0.5 0.0753342 5.50978e-09
2 1.25 1 0.2 0.5 0.0767522 0.00145531
2 1.25 1 0.4 0.5 0.0812268 0.00281055
2 1.25 1 0.6 0.5 0.0885874 0.00408452
2 1.25 1 0.8 0.5 0.0994623 0.00587412
2 1.25 1 1 0.5 0.112534 0.00735726

2.1 1.25 1 0 0.5 0.0728522 -nan
2.1 1.25 1 0.2 0.5 0.0743435 0.00142944
2.1 1.25 1 0.4 0.5 0.0787168 0.00286104
2.1 1.25 1 0.6 0.5 0.0862814 0.00432152
2.1 1.25 1 0.8 0.5 0.0966574 0.00550084
2.1 1.25 1 1 0.5 0.109796 0.00700154

2.2 1.25 1 0 0.5 0.0705302 1.58325e-08
2.2 1.25 1 0.2 0.5 0.0720111 0.00135762
2.2 1.25 1 0.4 0.5 0.0763596 0.00272369
2.2 1.25 1 0.6 0.5 0.0838281 0.00414484
2.2 1.25 1 0.8 0.5 0.0940045 0.00547875
2.2 1.25 1 1 0.5 0.106769 0.00719944

2.3 1.25 1 0 0.5 0.0683532 8.6868e-09
2.3 1.25 1 0.2 0.5 0.069778 0.00127739
2.3 1.25 1 0.4 0.5 0.0741429 0.00268485
2.3 1.25 1 0.6 0.5 0.0812976 0.00398696
2.3 1.25 1 0.8 0.5 0.0912109 0.00536337
2.3 1.25 1 1 0.5 0.104011 0.00654103

2.4 1.25 1 0 0.5 0.0663079 1.04955e-08
2.4 1.25 1 0.2 0.5 0.0676279 0.00126837
2.4 1.25 1 0.4 0.5 0.0720451 0.00267936
2.4 1.25 1 0.6 0.5 0.0791601 0.00394983
2.4 1.25 1 0.8 0.5 0.0892059 0.0053524
2.4 1.25 1 1 0.5 0.101672 0.00664719

2.5 1.25 1 0 0.5 0.0643827 9.81209e-09
2.5 1.25 1 0.2 0.5 0.065795 0.00124124
2.5 1.25 1 0.4 0.5 0.069969 0.00247574
2.5 1.25 1 0.6 0.5 0.0770099 0.00377447
2.5 1.25 1 0.8 0.5 0.0869466 0.00512563
2.5 1.25 1 1 0.5 0.0996787 0.00653371

2.6 1.25 1 0 0.5 0.0625671 1.2285e-08
2.6 1.25 1 0.2 0.5 0.0639418 0.00119409
2.6 1.25 1 0.4 0.5 0.0681109 0.00240151
2.6 1.25 1 0.6 0.5 0.0753535 0.00364369
2.6 1.25 1 0.8 0.5 0.0848849 0.00503529
2.6 1.25 1 1 0.5 0.0974083 0.00628102

2.7 1.25 1 0 0.5 0.060852 1.14443e-08
2.7 1.25 1 0.2 0.5 0.0621925 0.00118756
2.7 1.25 1 0.4 0.5 0.0661562 0.00240211
2.7 1.25 1 0.6 0.5 0.0731366 0.00348482
2.7 1.25 1 0.8 0.5 0.0829611 0.00487468
2.7 1.25 1 1 0.5 0.0952311 0.00611287

2.8 1.25 1 0 0.5 0.0592292 -nan
2.8 1.25 1 0.2 0.5 0.0605457 0.0011682
2.8 1.25 1 0.4 0.5 0.0647062 0.00232735
2.8 1.25 1 0.6 0.5 0.0716752 0.0035328
2.8 1.25 1 0.8 0.5 0.0809494 0.00468399
2.8 1.25 1 1 0.5 0.093187 0.00628565

2.9 1.25 1 0 0.5 0.0576915 6.51926e-09
2.9 1.25 1 0.2 0.5 0.0590312 0.00109671
2.9 1.25 1 0.4 0.5 0.0631445 0.00225782
2.9 1.25 1 0.6 0.5 0.069729 0.00333213
2.9 1.25 1 0.8 0.5 0.0788929 0.00453267
2.9 1.25 1 1 0.5 0.0910743 0.00596689

3 1.25 1 0 0.5 0.0562322 -nan
3 1.25 1 0.2 0.5 0.0575883 0.00103365
3 1.25 1 0.4 0.5 0.0615003 0.00218557
3 1.25 1 0.6 0.5 0.0680875 0.00341877
3 1.25 1 0.8 0.5 0.0773033 0.00446298
3 1.25 1 1 0.5 0.08912 0.00578745

3.1 1.25 1 0 0.5 0.0548455 -nan
3.1 1.25 1 0.2 0.5 0.0561517 0.00104876
3.1 1.25 1 0.4 0.5 0.060134 0.00211012
3.1 1.25 1 0.6 0.5 0.0664712 0.00324128
3.1 1.25 1 0.8 0.5 0.075676 0.00431821
3.1 1.25 1 1 0.5 0.0875221 0.00569282

3.2 1.25 1 0 0.5 0.0535261 6.61829e-09
3.2 1.25 1 0.2 0.5 0.0548429 0.00102853
