alpha b d0 sigma tau Gmean Gstd
0 1.25 1 0 2 inf -nan
0 1.25 1 0.2 2 inf -nan
0 1.25 1 0.4 2 inf -nan
0 1.25 1 0.6 2 inf -nan
0 1.25 1 0.8 2 inf -nan
0 1.25 1 1 2 inf -nan

0.1 1.25 1 0 2 0.222499 2.25064e-08
0.1 1.25 1 0.2 2 0.222941 0.00790085
0.1 1.25 1 0.4 2 0.223354 0.0163718
0.1 1.25 1 0.6 2 0.223095 0.0238271
0.1 1.25 1 0.8 2 0.226806 0.0311286
0.1 1.25 1 1 2 0.228085 0.0405209

0.2 1.25 1 0 2 0.200802 3.48469e-08
0.2 1.25 1 0.2 2 0.20131 0.00718789
0.2 1.25 1 0.4 2 0.201832 0.013888
0.2 1.25 1 0.6 2 0.205146 0.0218666
0.2 1.25 1 0.8 2 0.208213 0.0283411
0.2 1.25 1 1 2 0.211759 0.0365415

0.3 1.25 1 0 2 0.183175 3.26893e-08
0.3 1.25 1 0.2 2 0.183806 0.00687194
0.3 1.25 1 0.4 2 0.1862 0.0128066
0.3 1.25 1 0.6 2 0.190156 0.0192185
0.3 1.25 1 0.8 2 0.196238 0.0268892
0.3 1.25 1 1 2 0.204273 0.0317164

0.4 1.25 1 0 2 0.168531 -nan
0.4 1.25 1 0.2 2 0.16955 0.00585483
0.4 1.25 1 0.4 2 0.172988 0.0119534
0.4 1.25 1 0.6 2 0.179356 0.0185473
0.4 1.25 1 0.8 2 0.186095 0.023933
0.4 1.25 1 1 2 0.196242 0.0306083

0.5 1.25 1 0 2 0.156146 3.48966e-08
0.5 1.25 1 0.2 2 0.157334 0.00574148
0.5 1.25 1 0.4 2 0.161431 0.0112584
0.5 1.25 1 0.6 2 0.167936 0.01745
0.5 1.25 1 0.8 2 0.178407 0.0225432
0.5 1.25 1 1 2 0.190185 0.027838

0.6 1.25 1 0 2 0.145521 1.67638e-08
0.6 1.25 1 0.2 2 0.147225 0.00501512
0.6 1.25 1 0.4 2 0.151359 0.0109485
0.6 1.25 1 0.6 2 0.159481 0.0157256
0.6 1.25 1 0.8 2 0.17049 0.0216082
0.6 1.25 1 1 2 0.184055 0.0258087

0.7 1.25 1 0 2 0.136295 -nan
0.7 1.25 1 0.2 2 0.138315 0.00488358
0.7 1.25 1 0.4 2 0.143442 0.0104499
0.7 1.25 1 0.6 2 0.152302 0.0145476
0.7 1.25 1 0.8 2 0.164765 0.0193154
0.7 1.25 1 1 2 0.179293 0.0250012

0.8 1.25 1 0 2 0.128967 2.79397e-08
0.8 1.25 1 0.2 2 0.13089 0.00454346
0.8 1.25 1 0.4 2 0.137029 0.00943132
0.8 1.25 1 0.6 2 0.146033 0.0143799
0.8 1.25 1 0.8 2 0.15896 0.0182277
0.8 1.25 1 1 2 0.176576 0.0232508

0.9 1.25 1 0 2 0.121721 -nan
0.9 1.25 1 0.2 2 0.124048 0.00454787
0.9 1.25 1 0.4 2 0.129335 0.00891895
0.9 1.25 1 0.6 2 0.140298 0.0135681
0.9 1.25 1 0.8 2 0.154044 0.0175075
0.9 1.25 1 1 2 0.170843 0.022693

1 1.25 1 0 2 0.115265 1.99312e-08
1 1.25 1 0.2 2 0.117548 0.00429506
1 1.25 1 0.4 2 0.123409 0.00849921
1 1.25 1 0.6 2 0.134591 0.0128369
1 1.25 1 0.8 2 0.149811 0.0175774
1 1.25 1 1 2 0.167621 0.0209302

1.1 1.25 1 0 2 0.109474 -nan
1.1 1.25 1 0.2 2 0.111832 0.00403283
1.1 1.25 1 0.4 2 0.11876 0.00812326
1.1 1.25 1 0.6 2 0.129434 0.0115605
1.1 1.25 1 0.8 2 0.14491 0.0164042
1.1 1.25 1 1 2 0.166457 0.021083

1.2 1.25 1 0 2 0.103754 -nan
1.2 1.25 1 0.2 2 0.10624 0.00377422
1.2 1.25 1 0.4 2 0.112708 0.00759509
1.2 1.25 1 0.6 2 0.123974 0.0114795
1.2 1.25 1 0.8 2 0.140461 0.0150824
1.2 1.25 1 1 2 0.161736 0.0201096

1.3 1.25 1 0 2 0.0990592 4.74883e-09
1.3 1.25 1 0.2 2 0.101504 0.00384017
1.3 1.25 1 0.4 2 0.10893 0.00759473
1.3 1.25 1 0.6 2 0.120443 0.0109046
1.3 1.25 1 0.8 2 0.137224 0.0147169
1.3 1.25 1 1 2 0.157464 0.0187754

1.4 1.25 1 0 2 0.094778 -nan
1.4 1.25 1 0.2 2 0.0972467 0.00361026
1.4 1.25 1 0.4 2 0.104666 0.00685496
1.4 1.25 1 0.6 2 0.116837 0.0108117
1.4 1.25 1 0.8 2 0.133442 0.014216
1.4 1.25 1 1 2 0.155209 0.017331

1.5 1.25 1 0 2 0.0908575 -nan
1.5 1.25 1 0.2 2 0.0931474 0.00332578
1.5 1.25 1 0.4 2 0.100629 0.00684917
1.5 1.25 1 0.6 2 0.112608 0.0102603
1.5 1.25 1 0.8 2 0.130106 0.0138979
1.5 1.25 1 1 2 0.152083 0.0167636

1.6 1.25 1 0 2 0.0872534 -nan
1.6 1.25 1 0.2 2 0.0898226 0.0032146
1.6 1.25 1 0.4 2 0.0974854 0.00661829
1.6 1.25 1 0.6 2 0.10914 0.00970109
1.6 1.25 1 0.8 2 0.126702 0.013279
1.6 1.25 1 1 2 0.149294 0.0165311

1.7 1.25 1 0 2 0.0839283 -nan
1.7 1.25 1 0.2 2 0.0863708 0.00319743
1.7 1.25 1 0.4 2 0.0935899 0.00621432
1.7 1.25 1 0.6 2 0.106218 0.00928261
1.7 1.25 1 0.8 2 0.124072 0.0127166
1.7 1.25 1 1 2 0.146764 0.0168749

1.8 1.25 1 0 2 0.0808508 3.83994e-09
1.8 1.25 1 0.2 2 0.0832852 0.0029568
1.8 1.25 1 0.4 2 0.0911332 0.00622041
1.8 1.25 1 0.6 2 0.103676 0.00890376
1.8 1.25 1 0.8 2 0.121931 0.0129353
1.8 1.25 1 1 2 0.145085 0.0159227

1.9 1.25 1 0 2 0.0779938 5.81611e-09
1.9 1.25 1 0.2 2 0.0806032 0.00300918
1.9 1.25 1 0.4 2 0.0882231 0.00582685
1.9 1.25 1 0.6 2 0.100836 0.00872216
1.9 1.25 1 0.8 2 0.11899 0.0122098
1.9 1.25 1 1 2 0.142062 0.0156293

2 1.25 1 0 2 0.0753342 5.50978e-09
2 1.25 1 0.2 2 0.07787 0.00277798
2 1.25 1 0.4 2 0.0853065 0.00586436
2 1.25 1 0.6 2 0.0984353 0.00873047
2 1.25 1 0.8 2 0.116845 0.0116337
2 1.25 1 1 2 0.139307 0.015276

2.1 1.25 1 0 2 0.0728522 -nan
2.1 1.25 1 0.2 2 0.0753916 0.00274368
2.1 1.25 1 0.4 2 0.0828138 0.00548574
2.1 1.25 1 0.6 2 0.0961535 0.00879797
2.1 1.25 1 0.8 2 0.114253 0.0117819
2.1 1.25 1 1 2 0.137556 0.0139415

2.2 1.25 1 0 2 0.0705302 1.58325e-08
2.2 1.25 1 0.2 2 0.0730165 0.00274859
2.2 1.25 1 0.4 2 0.0806975 0.00532761
2.2 1.25 1 0.6 2 0.0934345 0.00849829
2.2 1.25 1 0.8 2 0.11185 0.0108502
2.2 1.25 1 1 2 0.136027 0.0138043

2.3 1.25 1 0 2 0.0683532 8.6868e-09
2.3 1.25 1 0.2 2 0.0708332 0.0025369
2.3 1.25 1 0.4 2 0.0786469 0.00503061
2.3 1.25 1 0.6 2 0.0913632 0.00800089
2.3 1.25 1 0.8 2 0.109362 0.0108055
2.3 1.25 1 1 2 0.133268 0.0135242

2.4 1.25 1 0 2 0.0663079 1.04955e-08
2.4 1.25 1 0.2 2 0.0687528 0.00246984
2.4 1.25 1 0.4 2 0.0764557 0.00492005
2.4 1.25 1 0.6 2 0.0893821 0.00785857
2.4 1.25 1 0.8 2 0.107551 0.010322
2.4 1.25 1 1 2 0.131413 0.0134308

2.5 1.25 1 0 2 0.0643827 9.81209e-09
2.5 1.25 1 0.2 2 0.0669076 0.00243951
2.5 1.25 1 0.4 2 0.0745058 0.00509658
2.5 1.25 1 0.6 2 0.0876942 0.0074198
2.5 1.25 1 0.8 2 0.105656 0.00976376
2.5 1.25 1 1 2 0.12947 0.0129637

2.6 1.25 1 0 2 0.0625671 1.2285e-08
2.6 1.25 1 0.2 2 0.0652088 0.00235384
2.6 1.25 1 0.4 2 0.0730415 0.00478292
2.6 1.25 1 0.6 2 0.0855171 0.00713038
2.6 1.25 1 0.8 2 0.103845 0.0100837
2.6 1.25 1 1 2 0.126914 0.0127511

2.7 1.25 1 0 2 0.060852 1.14443e-08
2.7 1.25 1 0.2 2 0.0634088 0.00229308
2.7 1.25 1 0.4 2 0.0709296 0.00468085
2.7 1.25 1 0.6 2 0.0837189 0.00710414
2.7 1.25 1 0.8 2 0.102343 0.0099384
2.7 1.25 1 1 2 0.125368 0.0120644

2.8 1.25 1 0 2 0.0592292 -nan
2.8 1.25 1 0.2 2 0.0618775 0.00224932
2.8 1.25 1 0.4 2 0.0694812 0.00448557
2.8 1.25 1 0.6 2 0.0820497 0.00698024
2.8 1.25 1 0.8 2 0.0999726 0.0095657
2.8 1.25 1 1 2 0.123045 0.0121133

2.9 1.25 1 0 2 0.0576915 6.51926e-09
2.9 1.25 1 0.2 2 0.0602789 0.00215155
2.9 1.25 1 0.4 2 0.0678346 0.00455011
2.9 1.25 1 0.6 2 0.0804417 0.00695563
2.9 1.25 1 0.8 2 0.0984154 0.00896952
2.9 1.25 1 1 2 0.1222 0.0121253

3 1.25 1 0 2 0.0562322 -nan
3 1.25 1 0.2 2 0.0587483 0.00217562
3 1.25 1 0.4 2 0.0663351 0.00432473
3 1.25 1 0.6 2 0.0790341 0.00646451
3 1.25 1 0.8 2 0.0966034 0.00897773
3 1.25 1 1 2 0.120343 0.0114446

3.1 1.25 1 0 2 0.0548455 -nan
3.1 1.25 1 0.2 2 0.0572959 0.00212937
3.1 1.25 1 0.4 2 0.064881 0.0041967
3.1 1.25 1 0.6 2 0.0772608 0.00628256
3.1 1.25 1 0.8 2 0.0959045 0.00879566
3.1 1.25 1 1 2 0.118679 0.0110207

3.2 1.25 1 0 2 0.0535261 6.61829e-09
3.2 1.25 1 0.2 2 0.0560668 0.00202357
3.2 1.25 1 0.4 2 0.063426 0.00414376
3.2 1.25 1 0.6 2 0.0759454 0.00659808
3.2 1.25 1 0.8 2 0.0937791 0.00880302
3.2 1.25 1 1 2 0.117139 0.0115209

3.3 1.25 1 0 2 0.0522691 5.50978e-09
3.3 1.25 1 0.2 2 0.0546758 0.00203779
3.3 1.25 1 0.4 2 0.0620801 0.00412459
3.3 1.25 1 0.6 2 0.0744212 0.00628506
3.3 1.25 1 0.8 2 0.0926735 0.00839602
3.3 1.25 1 1 2 0.115798 0.0109177

3.4 1.25 1 0 2 0.0510702 -nan
3.4 1.25 1 0.2 2 0.0534825 0.0019995
3.4 1.25 1 0.4 2 0.060984 0.00386285
3.4 1.25 1 0.6 2 0.0734227 0.00629925
3.4 1.25 1 0.8 2 0.0907398 0.00806951
3.4 1.25 1 1 2 0.114242 0.011118

3.5 1.25 1 0 2 0.0499255 -nan
3.5 1.25 1 0.2 2 0.0523414 0.00190936
3.5 1.25 1 0.4 2 0.0595858 0.00391533
3.5 1.25 1 0.6 2 0.0717464 0.00585796
3.5 1.25 1 0.8 2 0.089641 0.008225
3.5 1.25 1 1 2 0.112853 0.0106826

3.6 1.25 1 0 2 0.0488313 -nan
