0  0.1 0.194045 0.0677084
0  0.2 0.188793 0.091723
0  0.3 0.184074 0.107814
0  0.4 0.179707 0.119904
0  0.5 0.176276 0.129292
0  0.6 0.173039 0.13707
0  0.7 0.170353 0.143598
0  0.8 0.167233 0.149045
0  0.9 0.164815 0.153777
0  1 0.162672 0.15811
0  1.1 0.160193 0.161694
0  1.2 0.158349 0.165044
0  1.3 0.156508 0.167803
0  1.4 0.155159 0.170646
0  1.5 0.15325 0.172792
0  1.6 0.152759 0.175246
0  1.7 0.151372 0.177271
0  1.8 0.149963 0.179013
0  1.9 0.148525 0.180649
0  2 0.147428 0.182204
0  2.1 0.147114 0.184036
0  2.2 0.14593 0.185119
0  2.3 0.143806 0.185979
0  2.4 0.143128 0.187275
0  2.5 0.14222 0.188213
0  2.6 0.142075 0.189637
0  2.7 0.140918 0.190443
0  2.8 0.140125 0.191225
0  2.9 0.13952 0.192059
0  3 0.138695 0.192877
0  3.1 0.137886 0.193604
0  3.2 0.137383 0.194311
0  3.3 0.137202 0.195139
0  3.4 0.136188 0.195782
0  3.5 0.136545 0.196691
0  3.6 0.135128 0.196906
0  3.7 0.135437 0.197767
0  3.8 0.134777 0.198333
0  3.9 0.133608 0.198468
0  4 0.13374 0.19927
0  4.1 0.133398 0.199654
0  4.2 0.133211 0.200281
0  4.3 0.133016 0.200785
0  4.4 0.132313 0.201001
0  4.5 0.132254 0.201736
0  4.6 0.131194 0.201623
0  4.7 0.131894 0.202621
0  4.8 0.13105 0.202763
0  4.9 0.129663 0.202484
0  5 0.129895 0.203173

0.2  0.1 0.173095 0.061927
0.2  0.2 0.151782 0.0827272
0.2  0.3 0.136772 0.095291
0.2  0.4 0.126323 0.104326
0.2  0.5 0.119045 0.111111
0.2  0.6 0.113088 0.116572
0.2  0.7 0.108041 0.120804
0.2  0.8 0.104412 0.124357
0.2  0.9 0.101245 0.127671
0.2  1 0.0977867 0.130082
0.2  1.1 0.0945394 0.132
0.2  1.2 0.0930897 0.134426
0.2  1.3 0.0909073 0.135891
0.2  1.4 0.088902 0.137385
0.2  1.5 0.0878534 0.13911
0.2  1.6 0.0863701 0.14039
0.2  1.7 0.0848141 0.141472
0.2  1.8 0.083609 0.14219
0.2  1.9 0.0825385 0.143353
0.2  2 0.0820656 0.14451
0.2  2.1 0.0807868 0.145024
0.2  2.2 0.079562 0.145767
0.2  2.3 0.0788639 0.146512
0.2  2.4 0.0785203 0.147581
0.2  2.5 0.0769399 0.147282
0.2  2.6 0.07717 0.148707
0.2  2.7 0.0755585 0.148602
0.2  2.8 0.075602 0.149436
0.2  2.9 0.0744942 0.149492
0.2  3 0.0738245 0.149878
0.2  3.1 0.0736332 0.150493
0.2  3.2 0.0725816 0.150417
0.2  3.3 0.0724962 0.150905
0.2  3.4 0.0730149 0.152082
0.2  3.5 0.0719521 0.151951
0.2  3.6 0.0715418 0.152293
0.2  3.7 0.0711461 0.15255
0.2  3.8 0.0714435 0.153488
0.2  3.9 0.0707183 0.153422
0.2  4 0.0687166 0.152092
0.2  4.1 0.0700994 0.153836
0.2  4.2 0.0693005 0.15383
0.2  4.3 0.0687301 0.153768
0.2  4.4 0.0682655 0.153819
0.2  4.5 0.0691561 0.155068
0.2  4.6 0.0691103 0.155478
0.2  4.7 0.0676359 0.15451
0.2  4.8 0.0677216 0.155088
0.2  4.9 0.0672026 0.155049
0.2  5 0.0675375 0.155747

0.4  0.1 0.176558 0.0582602
0.4  0.2 0.152535 0.0780613
0.4  0.3 0.131979 0.0894296
0.4  0.4 0.115471 0.0965307
0.4  0.5 0.101527 0.100658
0.4  0.6 0.0908696 0.103244
0.4  0.7 0.0833122 0.105275
0.4  0.8 0.0754695 0.105942
0.4  0.9 0.0692028 0.105911
0.4  1 0.0646604 0.106473
0.4  1.1 0.0599803 0.105906
0.4  1.2 0.0567308 0.106118
0.4  1.3 0.0535446 0.105893
0.4  1.4 0.050419 0.105284
0.4  1.5 0.0483119 0.105225
0.4  1.6 0.0465011 0.104866
0.4  1.7 0.0443223 0.104369
0.4  1.8 0.0433431 0.105044
0.4  1.9 0.0405357 0.102864
0.4  2 0.0395075 0.102799
0.4  2.1 0.0377176 0.101874
0.4  2.2 0.036778 0.101516
0.4  2.3 0.0361546 0.101808
0.4  2.4 0.0349539 0.101034
0.4  2.5 0.0344685 0.10126
0.4  2.6 0.0322358 0.0991842
0.4  2.7 0.0323427 0.0997239
0.4  2.8 0.0313675 0.099075
0.4  2.9 0.0300023 0.0977885
0.4  3 0.0295496 0.0975664
0.4  3.1 0.0292418 0.0977301
0.4  3.2 0.0291901 0.0982503
0.4  3.3 0.0276727 0.0961999
0.4  3.4 0.0281474 0.0974947
0.4  3.5 0.0281158 0.0980365
0.4  3.6 0.0267176 0.0960702
0.4  3.7 0.0265977 0.0963297
0.4  3.8 0.0258636 0.0954813
0.4  3.9 0.0261894 0.0964753
0.4  4 0.0249402 0.0945957
0.4  4.1 0.0245023 0.0941383
0.4  4.2 0.0250274 0.0954396
0.4  4.3 0.0236166 0.0931586
0.4  4.4 0.023263 0.0927439
0.4  4.5 0.022893 0.0924224
0.4  4.6 0.0233749 0.0935734
0.4  4.7 0.0229505 0.0930703
0.4  4.8 0.0235873 0.0945277
0.4  4.9 0.0222929 0.0922049
0.4  5 0.0222566 0.0925529

0.6  0.1 0.179089 0.0551985
0.6  0.2 0.157282 0.0745683
0.6  0.3 0.136075 0.0859639
0.6  0.4 0.11729 0.0926076
0.6  0.5 0.100781 0.0961591
0.6  0.6 0.0869017 0.0971939
0.6  0.7 0.0752343 0.0972858
0.6  0.8 0.0651032 0.0959918
0.6  0.9 0.0567346 0.0942254
0.6  1 0.0495576 0.0920129
0.6  1.1 0.0434495 0.0893204
0.6  1.2 0.0379421 0.0860434
0.6  1.3 0.0334132 0.0832544
0.6  1.4 0.030202 0.0808642
0.6  1.5 0.0252268 0.0757677
0.6  1.6 0.022521 0.0730114
0.6  1.7 0.01981 0.0698075
0.6  1.8 0.0164483 0.0647266
0.6  1.9 0.0150675 0.062736
0.6  2 0.0131093 0.0595241
0.6  2.1 0.0110886 0.0554438
0.6  2.2 0.010388 0.0541723
0.6  2.3 0.00862799 0.0500083
0.6  2.4 0.00943996 0.052795
0.6  2.5 0.00760455 0.0477533
0.6  2.6 0.00706573 0.0465639
0.6  2.7 0.00666969 0.0457703
0.6  2.8 0.00588969 0.0429739
0.6  2.9 0.00636279 0.0450742
0.6  3 0.00513192 0.0406928
0.6  3.1 0.00481376 0.0398429
0.6  3.2 0.0051711 0.041484
0.6  3.3 0.00472642 0.0399261
0.6  3.4 0.00438907 0.0386367
0.6  3.5 0.00410794 0.0375787
0.6  3.6 0.00423132 0.0383405
0.6  3.7 0.00394916 0.0371648
0.6  3.8 0.00334903 0.0343288
0.6  3.9 0.0038399 0.037099
0.6  4 0.00351345 0.0354858
0.6  4.1 0.00347101 0.0355964
0.6  4.2 0.00281084 0.0321421
0.6  4.3 0.00280973 0.0322894
0.6  4.4 0.00303841 0.0336212
0.6  4.5 0.00265833 0.0312805
0.6  4.6 0.00292079 0.0331012
0.6  4.7 0.00299078 0.0335352
0.6  4.8 0.00285093 0.0327628
0.6  4.9 0.00256973 0.0313597
0.6  5 0.00315102 0.0349832

0.8  0.1 0.180979 0.0527552
0.8  0.2 0.161503 0.0717276
0.8  0.3 0.141552 0.0832626
0.8  0.4 0.122255 0.0900215
0.8  0.5 0.104864 0.0935853
0.8  0.6 0.0895985 0.0947518
0.8  0.7 0.075922 0.0944068
0.8  0.8 0.0639019 0.0922674
0.8  0.9 0.05339 0.0887711
0.8  1 0.0450247 0.0854848
0.8  1.1 0.0364589 0.0797403
0.8  1.2 0.0305719 0.0756438
0.8  1.3 0.0234313 0.0684032
0.8  1.4 0.0184101 0.0624292
0.8  1.5 0.0137545 0.0550503
0.8  1.6 0.0107838 0.0498776
0.8  1.7 0.0077923 0.0432363
0.8  1.8 0.00556003 0.0372492
0.8  1.9 0.00448972 0.0339162
0.8  2 0.00337696 0.0295327
0.8  2.1 0.00258711 0.0264671
0.8  2.2 0.00239593 0.0255749
0.8  2.3 0.00144482 0.0198527
0.8  2.4 0.00130668 0.019109
0.8  2.5 0.00118347 0.0186865
0.8  2.6 0.000930294 0.0166751
0.8  2.7 0.000820848 0.0156905
0.8  2.8 0.000647215 0.0140967
0.8  2.9 0.000598884 0.0134504
0.8  3 0.000536894 0.0129015
0.8  3.1 0.000429793 0.0116192
0.8  3.2 0.000336209 0.0101081
0.8  3.3 0.0004526 0.0118989
0.8  3.4 0.000364316 0.0107943
0.8  3.5 0.000300123 0.00996305
0.8  3.6 0.000303069 0.00982135
0.8  3.7 0.00035628 0.0109715
0.8  3.8 0.000197649 0.00803962
0.8  3.9 0.000297705 0.0101728
0.8  4 0.000286559 0.0100809
0.8  4.1 0.000227271 0.00885118
0.8  4.2 0.000169702 0.00773558
0.8  4.3 0.000267375 0.00994709
0.8  4.4 0.000202863 0.00848876
0.8  4.5 0.000212691 0.00848798
0.8  4.6 0.000249141 0.00951124
0.8  4.7 0.000199385 0.00854437
0.8  4.8 0.000134352 0.00693969
0.8  4.9 0.000212542 0.00886482
0.8  5 0.000187298 0.00830146

1  0.1 0.182727 0.0506734
1  0.2 0.164603 0.069164
1  0.3 0.146646 0.080785
1  0.4 0.128372 0.088101
1  0.5 0.110876 0.0924092
1  0.6 0.0952545 0.0939193
1  0.7 0.0802367 0.0934217
1  0.8 0.0680558 0.0916541
1  0.9 0.0568365 0.0884874
1  1 0.0454554 0.0829002
1  1.1 0.0362551 0.0774838
1  1.2 0.0284918 0.071174
1  1.3 0.0207027 0.0627139
1  1.4 0.0142357 0.0536474
1  1.5 0.00942477 0.0446556
1  1.6 0.00670469 0.0383739
1  1.7 0.00377121 0.0293539
1  1.8 0.00293477 0.0261649
1  1.9 0.00198976 0.0218278
1  2 0.00116387 0.0167931
1  2.1 0.000829326 0.0144676
1  2.2 0.000587901 0.0123574
1  2.3 0.000363502 0.00987767
1  2.4 0.000366505 0.00986515
1  2.5 0.000132368 0.00620349
1  2.6 0.000134507 0.00607405
1  2.7 0.000119362 0.00582498
1  2.8 5.48134e-05 0.00359749
1  2.9 4.70865e-05 0.00351921
1  3 8.12171e-05 0.00477365
1  3.1 4.58736e-05 0.00360217
1  3.2 6.57418e-05 0.00450106
1  3.3 8.4271e-05 0.00537918
1  3.4 2.90954e-05 0.00294887
1  3.5 1.40291e-05 0.00211917
1  3.6 4.23279e-05 0.00383967
1  3.7 3.94223e-05 0.00367682
1  3.8 2.47733e-05 0.00269532
1  3.9 4.71671e-05 0.00407484
1  4 3.39127e-05 0.00337831
1  4.1 1.23688e-05 0.00216922
1  4.2 6.52345e-08 3.22958e-05
1  4.3 3.82351e-05 0.00357048
1  4.4 2.73191e-05 0.00306062
1  4.5 3.10284e-05 0.00312463
1  4.6 1.96742e-05 0.00270669
